lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2347_translation,version_2341_translation,version_2339_translation,version_2353_translation,version_2340_translation,version_2355_translation,version_2342_translation,version_2345_translation,version_2351_translation,version_2338_translation,version_2337_translation,version_2350_translation,version_2354_translation,version_2343_translation,version_2348_translation,version_2344_translation,version_2349_translation,version_2346_translation,version_2352_translation,english_translation
ἀσπασμός,837,uni_token,masculine,accusative,plural,市,2.116466402881505,街,市,街,市,街,市,市,市,市,市,市,,街,喜,街,市,市,喜,市,greeting
ἀσπασμός,666,uni_token,masculine,accusative,singular,腹,1.799721446645454,沙,胎,,驟,胎,腹,胎,腹,,腹,腹,,跳,腹,腹,腹,腹,,胎,greeting
ὁδηγός,465,uni_token,masculine,nominative,plural,坑,4.6965292425867755,睬,嚮,任,,,坑,嚮,坑,雙,坑,坑,,坑,坑,坑,坑,坑,嚮,嚮,guide
ὁδηγός,462,uni_token,masculine,nominative,singular,瞎,1.8860039203763654,瞎,嚮,瞎,嚮,扶,瞎,嚮,瞎,瞎,瞎,瞎,,首,嚮,,瞎,領,嚮,嚮,guide
θρίξ,505,uni_token,feminine,accusative,singular,髮,911.8803035640135,髮,髮,髮,髮,髮,髮,髮,髮,髮,髮,髮,,髮,髮,髮,髮,髮,髮,髮,hair
θρίξ,573,uni_token,feminine,nominative,plural,髮,11.633473252366116,髮,髮,髮,髮,髮,髮,髮,髮,髮,髮,髮,,髮,髮,髮,髮,髮,髮,髮,hair
θρίξ,718,uni_token,feminine,nominative,singular,髮,32.943959540031535,,髮,髮,髮,髮,髮,髮,,,髮,,,髮,髮,髮,,髮,髮,髮,hair
χείρ,827,uni_token,feminine,accusative,plural,手,5722484470331.636,手,手,手,手,手,手,手,手,手,手,手,,手,手,手,手,手,手,手,hand
χείρ,723,uni_token,feminine,accusative,singular,手,661796.4232735118,手,手,手,手,手,手,手,手,手,手,手,,手,手,手,手,手,手,手,hand
κεφαλή,632,uni_token,feminine,accusative,plural,搖,9.7643221248979,辱,譏,,搖,譏,救,譏,搖,搖,搖,搖,,凌,頭,頭,搖,,笑,笑,head
κεφαλή,706,uni_token,feminine,accusative,singular,頭,6008018206.72053,頭,頭,頭,頭,頭,頭,頭,頭,頭,頭,頭,,頭,頭,頭,頭,頭,頭,頭,head
στάχυς,707,uni_token,masculine,accusative,plural,穗,1.4365374759094311,穗,穗,摘,,穗,,穗,,,摘,,,掐,,,,穗,穗,搓,head of grain
στάχυς,549,uni_token,masculine,accusative,singular,,,穗,,穀,,,,,,,苗,,,穀,,,,穗,,籽,head of grain
καρδία,500,uni_token,feminine,accusative,plural,義,12.987885150465788,,義,義,義,義,公,義,義,義,義,義,,義,義,義,義,義,義,義,heart
καρδία,800,uni_token,feminine,accusative,singular,心,583963.7092587216,心,心,心,化,心,心,心,心,心,心,心,,心,心,心,心,心,心,心,heart
καρδία,854,uni_token,feminine,nominative,plural,醉,1.7462987611593594,醉,醉,,醉,,,醉,,,,,,饕,,,,醉,掛,,heart
καρδία,690,uni_token,feminine,nominative,singular,心,1111353844.9817274,心,心,心,心,心,心,心,心,心,心,心,,心,心,心,心,心,心,心,heart
οὐρανός,468,uni_token,masculine,accusative,plural,鴿,1.9360568010689077,,,,洞,飛,,,,裂,諸,,,鴿,鴿,暢,,鴿,,鴿,"heaven, sky"
οὐρανός,776,uni_token,masculine,accusative,singular,天,2150302.804650912,天,天,天,天,天,天,天,天,天,天,天,,天,天,天,天,天,天,天,"heaven, sky"
οὐρανός,867,uni_token,masculine,nominative,plural,鴿,2.479671659457313,,,,鴿,鴿,,,,,諸,,,諸,鴿,暢,,鴿,鴿,鴿,"heaven, sky"
οὐρανός,696,uni_token,masculine,nominative,singular,天,13.598358282659685,天,天,廢,逝,天,天,天,天,天,逝,天,,天,天,逝,天,天,廢,天,"heaven, sky"
ὥρα,807,uni_token,feminine,nominative,plural,跌,3.465586333683046,跌,致,辰,跌,辰,跌,致,致,跌,絆,跌,,磕,鐘,晝,致,辰,晝,跌,hour
ὥρα,490,uni_token,feminine,nominative,singular,時,25.863075834985317,時,時,候,時,時,辰,時,時,候,時,時,,時,時,時,時,時,時,時,hour
οἰκία,648,uni_token,feminine,accusative,plural,受,2.0932526129941955,受,受,家,姊,吞,,受,受,受,產,受,,受,受,懲,受,侵,房,,house
οἰκία,843,uni_token,feminine,accusative,singular,家,53.32935463458014,家,家,家,屋,屋,家,家,家,家,家,家,,家,家,家,家,屋,屋,家,house
οἶκος,795,uni_token,masculine,accusative,plural,接,1.1286246424255273,辭,管,之,怎,策,接,管,接,接,務,接,,,撤,留,接,罷,務,辭,"house, home"
οἶκος,486,uni_token,masculine,accusative,singular,家,2063604.071977292,家,家,家,家,回,家,家,家,家,家,家,,家,家,家,家,家,家,家,"house, home"
κριτής,822,uni_token,masculine,nominative,plural,卜,10.543305376164307,卜,卜,卜,憑,卜,卜,卜,卜,卜,卜,卜,,仗,裁,靠,卜,卜,卜,卜,judge
κριτής,658,uni_token,masculine,nominative,singular,官,10393.356950417408,官,官,官,官,官,官,官,官,官,官,官,,官,官,官,官,官,官,官,judge
βασιλεύς,590,uni_token,masculine,accusative,plural,君,3.603054873986815,君,君,侯,總,侯,君,君,侯,,君,諸,,王,君,王,侯,侯,君,君,king
βασιλεύς,530,uni_token,masculine,accusative,singular,王,3221284249.963418,王,王,王,王,王,王,王,王,王,王,王,,王,王,王,王,王,王,王,king
βασιλεία,555,uni_token,feminine,accusative,plural,國,1.9303434207996077,國,國,高,邦,魔,,國,魔,,國,魔,,國,國,國,魔,國,國,展,kingdom
βασιλεία,653,uni_token,feminine,accusative,singular,國,442941707954.93744,國,國,國,國,國,國,國,國,國,國,國,,國,國,國,國,國,國,國,kingdom
κόπος,699,uni_token,masculine,accusative,plural,美,3.1246061728711805,難,美,難,難,向,美,美,美,件,美,美,,件,難,善,美,難,美,美,"labour, work, trouble, difficulty"
κόπος,565,uni_token,masculine,accusative,singular,纏,1.4298239490019489,穫,,絮,,,纏,,纏,纏,,纏,,,,,纏,,煩,,"labour, work, trouble, difficulty"
λύχνος,761,uni_token,masculine,nominative,plural,燈,4.821302924677804,燈,,燈,燃,燈,燈,,燈,燈,油,燈,,燈,燈,燈,燈,燈,燈,燈,lamp
λύχνος,733,uni_token,masculine,nominative,singular,燈,25301.75836525022,燈,燈,燈,燈,燈,燈,燈,燈,燈,燈,燈,,燈,燈,燈,燈,燈,燈,燈,lamp
κλῆρος,580,uni_token,masculine,accusative,plural,籤,1.877600296677017,鬮,籤,,,,,籤,,,籤,,,鬮,,鬮,,,籤,籤,"lots (casting of lots), inheritance"
κλῆρος,459,uni_token,masculine,accusative,singular,籤,1.8234346011412264,鬮,籤,,,,,籤,,,籤,,,鬮,,鬮,,,籤,籤,"lots (casting of lots), inheritance"
ἄνθρωπος,811,uni_token,masculine,accusative,plural,人,12.787467699645084,人,草,人,人,最,人,草,人,人,人,人,,人,人,人,人,人,人,人,man
ἄνθρωπος,765,uni_token,masculine,accusative,singular,穢,3.057587079610922,,玷,,人,,人,玷,穢,穢,穢,穢,,穢,人,穢,穢,,人,穢,man
ἄνθρωπος,604,uni_token,masculine,nominative,plural,人,17.965549368917866,人,人,人,人,款,人,人,人,人,人,人,,人,人,是,人,人,人,人,man
ἄνθρωπος,672,uni_token,masculine,nominative,singular,人,466.91543243120157,人,人,人,人,人,人,人,人,人,個,人,,人,人,人,人,人,人,人,man
ἀνήρ,752,uni_token,masculine,accusative,plural,丈,1.8227566991134003,瞌,盹,丈,,乏,,盹,,,丈,,,並,丈,丈,,丈,,同,"man, husband"
ἀνήρ,756,uni_token,masculine,accusative,singular,丈,584.614933838226,丈,丈,丈,夫,丈,丈,丈,丈,丈,丈,丈,,夫,丈,丈,丈,丈,丈,丈,"man, husband"
ἀνήρ,639,uni_token,masculine,nominative,plural,千,152.85418558360095,男,男,千,千,千,男,男,千,千,千,千,,千,千,千,千,千,千,男,"man, husband"
ἀνήρ,742,uni_token,masculine,nominative,singular,個,122.92194110913171,個,個,個,伏,個,俯,個,個,個,個,個,,伏,個,個,個,個,個,個,"man, husband"
μνᾶ,814,uni_token,feminine,accusative,plural,錠,2857.983546565023,錠,錠,銀,錠,兩,錠,錠,錠,錠,幣,錠,,米,筆,條,錠,銀,幣,幣,mina (about 100 days' wages)
μνᾶ,476,uni_token,feminine,accusative,singular,錠,50.9023712763702,錠,錠,奪,錠,左,錠,錠,錠,錠,旁,錠,,米,筆,搶,錠,左,侍,賺,mina (about 100 days' wages)
πρωτοκαθεδρία,588,uni_token,feminine,accusative,plural,首,2.3935850659094995,首,首,高,排,座,首,首,首,首,首,首,,赴,首,席,首,座,首,首,"most important seat, seat of honour"
πρωτοκαθεδρία,502,uni_token,feminine,accusative,singular,市,1.4044777130073625,街,市,高,街,街,市,市,市,市,市,市,,,維,佔,市,市,巿,市,"most important seat, seat of honour"
μήτηρ,578,uni_token,feminine,accusative,plural,姊,2.873333369656647,姊,姊,宅,姊,,姐,姊,姊,姐,姐,姐,,室,姐,艱,姊,姊,─,姊,mother
μήτηρ,791,uni_token,feminine,accusative,singular,母,248624536.76428124,母,母,母,母,母,母,母,母,母,母,母,,母,母,母,母,母,母,母,mother
ὄρος,717,uni_token,neuter,accusative,plural,山,1128.840536249577,山,山,山,山,山,山,山,山,山,山,山,,山,山,山,山,山,山,山,mountain
ὄρος,774,uni_token,neuter,accusative,singular,山,20210445.887327638,山,山,山,山,山,山,山,山,山,山,山,,山,山,山,山,山,山,山,mountain
μύρον,566,uni_token,neuter,accusative,plural,膏,3.150249777269259,藥,膏,,膏,料,膏,膏,膏,膏,液,○,,,膏,膏,膏,,,膏,myrrh
μύρον,492,uni_token,neuter,accusative,singular,澆,8.828014208116747,澆,澆,澆,澆,膏,澆,澆,澆,澆,,澆,,,精,液,澆,澆,澆,澆,myrrh
ὄνομα,564,uni_token,neuter,accusative,plural,雷,5.053918043343797,雷,雷,雷,霆,雷,雷,雷,雷,雷,霆,雷,,霆,霆,雷,雷,雷,庇,霆,name
ὄνομα,501,uni_token,neuter,accusative,singular,名,572755393958.9043,名,名,名,名,名,名,名,名,名,名,名,,名,名,名,名,名,名,名,name
ὄνομα,586,uni_token,neuter,nominative,plural,名,55.99751591976356,名,名,名,名,名,名,名,名,名,名,名,,名,名,名,名,名,名,名,name
ὄνομα,757,uni_token,neuter,nominative,singular,名,312176459.20584816,名,名,名,名,名,名,名,名,名,名,名,,名,名,名,名,名,名,名,name
ἔθνος,731,uni_token,neuter,accusative,plural,萬,35.64816277130214,邦,萬,萬,族,萬,萬,萬,萬,邦,萬,萬,,萬,萬,民,萬,萬,萬,遍,nation
ἔθνος,691,uni_token,neuter,accusative,singular,民,6.333323389548559,攻,民,攻,族,攻,民,民,民,民,族,民,,,族,民,民,民,族,民,nation
ἔθνος,817,uni_token,neuter,nominative,plural,邦,188.4879177200122,都,邦,邦,追,邦,邦,邦,邦,邦,邦,邦,,外,追,邦,邦,邦,需,追,nation
ἔθνος,491,uni_token,neuter,nominative,singular,攻,2.4621936389855885,攻,民,攻,國,攻,攻,民,攻,攻,族,攻,,,族,國,攻,國,族,族,nation
νύξ,684,uni_token,feminine,accusative,plural,夜,14350547.936788706,夜,夜,夜,夜,夜,夜,夜,夜,夜,夜,夜,,夜,夜,夜,夜,夜,夜,夜,night
νύξ,750,uni_token,feminine,accusative,singular,夜,1697.3145754075545,夜,夜,夜,齋,夜,夜,夜,夜,夜,夜,夜,,夜,芽,晝,夜,夜,夜,齡,night
ὅρκος,531,uni_token,masculine,accusative,plural,誓,14094.0831256677,誓,誓,誓,誓,誓,誓,誓,誓,誓,誓,誓,,誓,誓,誓,誓,誓,賓,誓,oath
ὅρκος,773,uni_token,masculine,accusative,singular,誓,11.229106667271282,誓,誓,誓,宗,誓,誓,誓,誓,誓,誓,誓,,誓,懼,誓,誓,誓,誓,誓,oath
βοῦς,644,uni_token,masculine,accusative,plural,兌,2.1551363474657768,兌,兌,,兌,兌,,兌,兌,兌,兌,兌,,兌,,兌,兌,,兌,牛,ox
βοῦς,786,uni_token,masculine,accusative,singular,槽,1.5007441972059004,槽,槽,槽,畜,廄,槽,槽,槽,槽,飲,槽,,飲,槽,,槽,廄,槽,棚,ox
παραβολή,769,uni_token,feminine,accusative,plural,喻,6506.444579022972,比,喻,喻,譬,喻,喻,喻,喻,喻,喻,喩,,喻,喻,喻,喻,喻,喻,喻,parable
παραβολή,724,uni_token,feminine,accusative,singular,喻,175.30274348401235,比,喻,喻,喻,喻,喻,喻,喻,喻,喻,喩,,喻,喻,喻,喻,喻,喻,喻,parable
μέρος,866,uni_token,neuter,accusative,plural,境,25.487146810132685,往,內,境,區,境,境,內,境,境,區,境,,境,境,域,境,境,境,內,part
μέρος,522,uni_token,neuter,accusative,singular,片,2.9515425809711244,分,份,片,突,極,分,份,片,片,份,片,,分,渾,份,片,扑,罰,懲,part
μαργαρίτης,726,uni_token,masculine,accusative,plural,珠,2016.8200365752891,珠,,珠,珠,,珠,,珠,珠,,珠,,珠,珠,珠,珠,珠,珠,珠,pearls
μαργαρίτης,504,uni_token,masculine,accusative,singular,,,珠,,,珠,價,顆,,顆,珠,,顆,,珠,,顆,顆,,珠,,pearls
τόπος,784,uni_token,masculine,accusative,plural,饑,2.1322852743643534,荒,饑,荒,震,饑,饑,饑,饑,饑,饑,荒,,荒,饑,荒,饑,饑,饑,饑,place
τόπος,809,uni_token,masculine,accusative,singular,方,22.665731814850275,方,方,方,地,方,方,方,方,方,方,方,,方,方,方,方,方,方,方,place
πρωτοκλισία,789,uni_token,feminine,accusative,plural,首,8.038135115396996,首,首,位,座,位,首,首,首,首,座,首,,座,筵,位,首,首,高,首,place of honor
πρωτοκλισία,503,uni_token,feminine,accusative,singular,首,2.937531290419484,首,首,筵,首,筵,首,首,首,首,,首,,赴,首,坐,首,首,筵,首,place of honor
ὄφις,868,uni_token,masculine,accusative,plural,蛇,2.3230709244155903,,,蛇,,蛇,蛇,,蛇,,蛇,蛇,,,,,蛇,蛇,握,蛇,poison
ὄφις,587,uni_token,masculine,accusative,singular,蛇,590651.3241703975,蛇,蛇,蛇,蛇,蛇,蛇,蛇,蛇,蛇,蛇,蛇,,蛇,蛇,蛇,蛇,蛇,蛇,蛇,poison
σκεῦος,627,uni_token,neuter,accusative,plural,壯,1.4054174739923955,搶,,,漢,,,,,壯,壯,,,,劫,壯,,,,,"possession, object, thing, jar, vessel"
σκεῦος,764,uni_token,neuter,accusative,singular,具,3.307804736166549,東,具,具,具,具,皿,具,具,具,運,具,,携,具,禁,具,具,皿,貨,"possession, object, thing, jar, vessel"
σκεῦος,617,uni_token,neuter,nominative,plural,具,2.597844060979176,頂,頂,具,什,具,具,頂,具,具,頂,具,,器,器,頂,具,具,具,李,"possession, object, thing, jar, vessel"
σκεῦος,687,uni_token,neuter,nominative,singular,,,,醋,,,,絨,醋,,,,,,絨,,,,,,皿,"possession, object, thing, jar, vessel"
δύναμις,589,uni_token,feminine,accusative,plural,異,163.95595313736064,異,異,奇,力,奇,異,異,異,異,蹟,異,,跡,奇,藉,異,廣,蹟,蹟,"power, ability, miracle"
δύναμις,516,uni_token,feminine,accusative,singular,能,43.29845944842422,能,能,能,力,幹,力,能,能,能,力,能,,能,能,能,能,能,力,力,"power, ability, miracle"
δύναμις,558,uni_token,feminine,nominative,plural,異,419.72574375309887,異,異,象,力,幹,異,異,異,異,力,異,,跡,蹟,跡,異,異,蹟,神,"power, ability, miracle"
δύναμις,600,uni_token,feminine,nominative,singular,力,195.7690953183086,力,力,能,力,幹,力,力,力,力,能,力,,力,力,身,力,能,力,力,"power, ability, miracle"
ἱερεύς,483,uni_token,masculine,nominative,plural,,,讀,算,寫,俗,矩,侮,算,犯,讀,觸,犯,,亦,觸,念,犯,條,職,觸,priest
ἱερεύς,746,uni_token,masculine,nominative,singular,偶,1.2026912033712884,,偶,司,組,班,偶,偶,,偶,,偶,,祭,位,,,司,司,司,priest
φυλακή,766,uni_token,feminine,accusative,plural,監,1.765768454659779,郊,值,郊,,,住,值,監,監,,監,,巡,監,監,監,,郊,郊,prison
φυλακή,489,uni_token,feminine,accusative,singular,監,298158.6229142182,監,監,監,獄,監,監,監,監,監,監,監,,監,監,押,監,監,監,牢,prison
προφήτης,534,uni_token,masculine,accusative,plural,先,17.73553147904229,知,先,先,先,知,先,先,先,先,先,先,,先,先,先,先,先,先,先,prophet
προφήτης,697,uni_token,masculine,accusative,singular,先,18.061130549062867,知,先,先,先,知,先,先,先,先,先,先,,先,先,先,先,先,先,先,prophet
προφήτης,725,uni_token,masculine,nominative,plural,先,17.421110566435946,知,先,先,先,知,先,先,先,先,先,先,,先,先,先,先,先,先,先,prophet
προφήτης,775,uni_token,masculine,nominative,singular,先,14.968143430853706,知,先,先,先,知,先,先,先,先,先,先,,先,先,先,先,先,先,先,prophet
βαλλάντιον,616,uni_token,neuter,accusative,plural,蛀,2.104298660367647,,蛀,囊,,蛀,蛀,蛀,蛀,蛟,,蛀,,敝,虫,,蛀,囊,,,purse
βαλλάντιον,482,uni_token,neuter,accusative,singular,囊,5.710278770776922,囊,囊,皮,,囊,囊,囊,囊,囊,囊,囊,,袋,,袋,囊,囊,囊,袋,purse
ποταμός,612,uni_token,masculine,nominative,plural,,,,撞,,河,流,,撞,,,流,,,河,,河,,流,,沖,river
ποταμός,661,uni_token,masculine,nominative,singular,沖,3.3658278641599737,沖,沖,衝,衝,衝,江,沖,沖,冲,,冲,,溜,,衝,沖,衝,沖,沖,river
λῃστής,511,uni_token,masculine,accusative,plural,盜,10.04987672863592,盜,盜,盜,盜,強,盜,盜,盜,盜,盜,盜,,盜,盜,盜,盜,盜,盜,劫,robber
λῃστής,865,uni_token,masculine,accusative,singular,棒,2.827899414246839,棒,棒,棒,棍,強,棒,棒,棒,棒,,棒,,,,棒,棒,棒,棒,,robber
λῃστής,839,uni_token,masculine,nominative,plural,盜,17.309705715917705,盜,盜,盜,盜,盜,盜,盜,盜,盜,盜,盜,,盜,盜,匪,盜,盜,盜,盜,robber
λῃστής,650,uni_token,masculine,nominative,singular,盜,18.61672571040147,盜,盜,盜,盜,盜,盜,盜,盜,盜,盜,盜,,盜,盜,盜,盜,盜,盜,盜,robber
ἄρχων,704,uni_token,masculine,accusative,plural,府,3.4386967362726666,齊,齊,府,袖,召,府,齊,府,齊,首,府,,官,官,招,府,府,召,官,ruler
ἄρχων,576,uni_token,masculine,accusative,singular,務,2.711683668654564,役,冤,儘,休,役,押,冤,務,務,卒,務,,竭,監,訟,務,衙,監,簿,ruler
ἄρχων,538,uni_token,masculine,nominative,plural,官,1092.9803399599634,官,官,官,吏,府,官,官,官,官,首,官,,官,官,官,官,官,官,官,ruler
ἄρχων,833,uni_token,masculine,nominative,singular,界,7.680150636619558,目,,官,界,君,元,,界,官,掌,界,,界,領,世,界,,界,界,ruler
ἀκοή,469,uni_token,feminine,accusative,plural,慌,2.429700010483955,慌,慌,仗,,仗,慌,慌,慌,慌,局,慌,,仗,慌,爭,慌,戰,局,,rumor
ἀκοή,551,uni_token,feminine,accusative,singular,封,509.97379054389944,風,封,封,州,封,封,封,封,封,封,封,,封,,封,封,封,封,封,rumor
ἀκοή,655,uni_token,feminine,nominative,plural,舌,1.4905896765740483,舌,,舒,舌,楚,,,,,,,,通,舌,弗,,朗,鬆,舌,rumor
ἀκοή,851,uni_token,feminine,nominative,singular,遍,14.593751061768938,遍,遍,遍,遍,揚,遍,遍,遍,聲,消,遍,,聲,遍,傳,遍,遍,遍,遍,rumor
βιβλίον,527,uni_token,neuter,accusative,plural,書,2.246912513529372,寫,,裝,,裝,書,,書,書,書,書,,盛,書,述,書,,書,,"scroll, book"
βιβλίον,524,uni_token,neuter,accusative,singular,書,194797.03029250295,書,書,書,書,書,書,書,書,書,書,書,,書,書,書,書,卷,書,書,"scroll, book"
διάκονος,719,uni_token,masculine,nominative,plural,舀,14.794611971290932,舀,舀,,嚐,嚐,舀,舀,舀,舀,舀,舀,,舀,舀,淘,舀,,舀,嚐,"servant, minister, deacon"
διάκονος,571,uni_token,masculine,nominative,singular,,,間,作,服,僕,役,用,作,作,侍,僕,用,,僕,該,該,作,服,僕,誰,"servant, minister, deacon"
δοῦλος,711,uni_token,masculine,accusative,plural,僕,260465548.35108492,僕,僕,僕,奴,僕,僕,僕,僕,僕,奴,僕,,僕,僕,友,僕,僕,僕,奴,"servant, slave"
δοῦλος,493,uni_token,masculine,accusative,singular,僕,24404877.740522984,僕,僕,僕,奴,僕,僕,僕,僕,僕,奴,僕,,僕,僕,工,僕,僕,僕,奴,"servant, slave"
δοῦλος,585,uni_token,masculine,nominative,plural,僕,3522011856.055731,僕,僕,僕,奴,僕,僕,僕,僕,僕,奴,僕,,僕,僕,工,僕,僕,僕,奴,"servant, slave"
δοῦλος,705,uni_token,masculine,nominative,singular,僕,8773584.734508766,僕,僕,僕,奴,僕,僕,僕,僕,僕,奴,僕,,僕,僕,僕,僕,僕,僕,奴,"servant, slave"
πρόβατον,844,uni_token,neuter,accusative,plural,羊,76626802692.64458,羊,羊,羊,羊,羊,羊,羊,羊,羊,羊,羊,,羊,羊,羊,羊,羊,羊,羊,sheep
πρόβατον,634,uni_token,neuter,accusative,singular,羊,2366.5916634054447,羊,羊,羊,羊,羊,羊,羊,羊,羊,羊,羊,,羊,羊,羊,羊,羊,羊,羊,sheep
ποιμήν,755,uni_token,masculine,nominative,plural,牧,7629.358306920799,牧,牧,牧,牧,牧,牧,牧,牧,牧,牧,牧,,牧,牧,牧,牧,牧,牧,牧,"shepherd, pastor"
ποιμήν,801,uni_token,masculine,nominative,singular,牧,91.41424135741518,牧,牧,牧,牧,羊,牧,牧,牧,牧,牧,牧,,牧,牧,牧,牧,牧,牧,牧,"shepherd, pastor"
σημεῖον,630,uni_token,neuter,accusative,plural,蹟,43.79966573929434,驗,蹟,奇,跡,奇,跡,蹟,蹟,蹟,蹟,蹟,,跡,蹟,跡,蹟,跡,蹟,蹟,sign
σημεῖον,615,uni_token,neuter,accusative,singular,蹟,36.256234969856536,驗,蹟,奇,跡,奇,跡,蹟,蹟,蹟,蹟,蹟,,跡,蹟,跡,蹟,跡,蹟,蹟,sign
σημεῖον,513,uni_token,neuter,nominative,plural,,,顯,蹟,各,兆,奇,跡,蹟,蹟,異,兆,蹟,,象,兆,象,蹟,象,兆,兆,sign
σημεῖον,570,uni_token,neuter,nominative,singular,兆,2.4912799523996685,驗,蹟,兆,兆,兆,跡,蹟,蹟,蹟,兆,蹟,,兆,兆,標,蹟,跡,兆,兆,sign
δραχμή,810,uni_token,feminine,accusative,plural,掃,19.266745017273887,掃,掃,掃,,掃,掃,掃,掃,掃,掃,掃,,掃,掃,丟,掃,掃,掃,掃,"silver coin, drachma"
δραχμή,663,uni_token,feminine,accusative,singular,失,1.8046586532135163,塊,落,失,銀,失,失,落,失,失,幣,失,,塊,幣,丟,失,失,失,丟,"silver coin, drachma"
ἀργύριον,716,uni_token,neuter,accusative,plural,銀,731.7381389641978,錢,錢,銀,銀,銀,銀,錢,錢,銀,錢,錢,,銀,銀,銀,錢,銀,銀,錢,"silver, money"
ἀργύριον,855,uni_token,neuter,accusative,singular,銀,1846515.860976591,銀,銀,銀,銀,銀,銀,銀,銀,銀,銀,銀,,銀,錢,錢,銀,銀,錢,金,"silver, money"
ἁμαρτία,796,uni_token,feminine,accusative,plural,赦,2.687872061660828,罪,赦,赦,赦,赦,赦,赦,赦,赦,罪,赦,,赦,赦,赦,赦,罪,赦,罪,sin
ἁμαρτία,721,uni_token,feminine,accusative,singular,罪,7733280.7232588045,罪,罪,罪,罪,罪,罪,罪,罪,罪,罪,罪,,罪,罪,罪,罪,罪,罪,罪,sin
ἁμαρτία,805,uni_token,feminine,nominative,plural,赦,371.76138867996696,赦,赦,赦,赦,赦,赦,赦,赦,赦,孽,赦,,赦,赦,赦,赦,赦,赦,赦,sin
ἁμαρτία,802,uni_token,feminine,nominative,singular,罪,88.87882588790828,罪,罪,罪,罪,罪,罪,罪,罪,罪,罪,罪,,罪,罪,罪,罪,罪,罪,罪,sin
ἀδελφή,829,uni_token,feminine,accusative,plural,妹,2.6476111796830883,妹,,妹,,,,,,,,,,,妹,妹,,,,,sister
ἀδελφή,623,uni_token,feminine,accusative,singular,妹,27735.580186408013,妹,妹,妹,妹,,妹,妹,妹,妹,妹,妹,,妹,妹,妹,妹,妹,妹,麗,sister
ἀδελφή,485,uni_token,feminine,nominative,plural,妹,45813.39661999766,,,妹,妹,,妹,,妹,妹,妹,妹,,,,妹,妹,,妹,妹,sister
ἀδελφή,828,uni_token,feminine,nominative,singular,妹,15594.75553527072,妹,妹,妹,妹,,妹,妹,妹,妹,妹,妹,,妹,妹,妹,妹,妹,妹,妹,sister
ῥάπισμα,645,uni_token,neuter,accusative,plural,掌,7.395444809783094,賀,歲,掌,頰,,賀,歲,恭,掌,歲,恭,,掌,掌,恭,恭,掌,掌,掌,"slap, strike, hit"
ῥάπισμα,788,uni_token,neuter,accusative,singular,掌,5.393061076418129,掌,,臉,摑,,掌,,掌,掌,役,掌,,掌,覆,掌,掌,掌,掌,敢,"slap, strike, hit"
πλοιάριον,738,uni_token,neuter,nominative,plural,哩,6.376137710050922,哩,哩,哩,哩,庇,哩,哩,哩,哩,謝,哩,,謝,停,祝,哩,哩,停,泊,small boat
πλοιάριον,629,uni_token,neuter,nominative,singular,隻,5.030715592768604,隻,船,船,艇,隻,隻,船,隻,隻,條,隻,,隻,船,隻,隻,船,隻,條,small boat
ὀψάριον,678,uni_token,neuter,accusative,plural,麥,1.543984530726182,,麥,夠,濟,麥,童,麥,算,算,麥,算,,麥,麥,算,算,夠,麥,濟,small fish
ὀψάριον,768,uni_token,neuter,accusative,singular,魚,16.12216971186703,魚,魚,魚,魚,魚,魚,魚,魚,魚,魚,魚,,魚,魚,魚,魚,魚,魚,魚,small fish
υἱός,518,uni_token,masculine,accusative,plural,庇,1.4498433412389933,,庇,庇,子,比,庇,庇,庇,庇,兒,庇,,兒,庇,兒,庇,庇,庇,兒,son
υἱός,614,uni_token,masculine,accusative,singular,子,7416075.803269803,子,子,子,子,子,子,子,子,子,子,子,,子,子,子,子,子,子,子,son
υἱός,618,uni_token,masculine,nominative,plural,子,186.54324447190118,兒,子,兒,子,賀,子,子,子,子,兒,子,,子,子,子,子,子,兒,兒,son
υἱός,713,uni_token,masculine,nominative,singular,子,96810140.46499805,子,子,子,子,子,子,子,子,子,子,子,,子,子,子,子,子,子,子,son
ψυχή,727,uni_token,feminine,accusative,plural,魂,1.353760896913556,魂,性,耐,魂,,堅,性,魂,魂,獲,魂,,堅,忍,魂,魂,耐,贏,堅,"soul, life"
ψυχή,799,uni_token,feminine,accusative,singular,命,204462.04396131632,命,命,命,命,命,魂,命,命,命,命,命,,性,命,性,命,命,命,命,"soul, life"
ἀστήρ,812,uni_token,masculine,nominative,plural,星,1.6561350802613857,勢,,墜,,星,星,,星,墜,,星,,星,墜,統,星,星,墜,隕,star
ἀστήρ,686,uni_token,masculine,nominative,singular,停,2.069257044188412,停,,停,瞥,星,,,停,停,,停,,星,顆,導,停,停,顆,,star
λίθος,816,uni_token,masculine,accusative,plural,石,172.5250796737314,石,石,石,石,石,石,石,石,石,砸,石,,石,石,砸,石,石,石,石,stone
λίθος,506,uni_token,masculine,accusative,singular,石,986.8667937071475,石,石,石,石,石,石,石,石,石,石,石,,石,石,石,石,石,石,石,stone
λίθος,628,uni_token,masculine,nominative,plural,石,483.6243395472669,石,石,石,石,石,石,石,石,石,石,石,,石,石,石,石,石,石,石,stone
λίθος,510,uni_token,masculine,nominative,singular,石,4792.917475986856,石,石,石,石,石,石,石,石,石,石,石,,石,石,石,石,石,塊,石,stone
