lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_840_translation,version_841_translation,version_842_translation,version_843_translation,version_844_translation,version_845_translation,version_846_translation,version_847_translation,version_848_translation,english_translation
οὐρανός,390,unigram,masculine,nominative,plural,rocaj,1.202848464565591,xulan-pe,,Choj,rocaj,kajen,xjakatej,,,rocaj,"heaven, sky"
οὐρανός,229,unigram,masculine,nominative,singular,caj,3.533387294581611,caj,kaj,caj,rocaj,caj,caj,kaj,rocaj,rocaj,"heaven, sky"
ὥρα,28,unigram,feminine,nominative,singular,hora,126.83506438278005,hora,hora,hora,hora,hora,hora,hora,huora,hora,hour
οἰκία,181,unigram,feminine,accusative,plural,,,,,nyelayuj,,qui-cosas,,ndiyoꞌox,veces,niquimaj,house
οἰκία,367,unigram,feminine,accusative,singular,jay,8.447065781420017,jay,jay,jay,jay,jay,jay,achoch,jay,jay,house
οἶκος,323,unigram,masculine,accusative,plural,,,xtrelesaj,yek'ulu,nyec'ulun,,yec'ulun,yec'ulu,,cachuoch,,"house, home"
οἶκος,24,unigram,masculine,accusative,singular,chirachoch,2.706143329257385,chiracho,chirachoch,chiracho,charachoch,chirachoch,chrachoch,chirachoch,chirachuoch,chirocho,"house, home"
κριτής,348,unigram,masculine,nominative,plural,,,que'in,yenwelesaj,,ye'sekresan,yequelesaj,ncusaj,ukꞌuayon,ncaꞌnvalasaj,ye'ibij,judge
κριτής,192,unigram,masculine,nominative,singular,juez,17.10010191845829,nic'ojon,,juez,juez,k'atoy-tzij,k'atbel,qꞌatoy,juez,juez,judge
κλείς,98,unigram,feminine,accusative,plural,jaqbel,1.1613026128296644,,jaqbel,,,,,,,,key
κλείς,185,unigram,feminine,accusative,singular,,,xiya,ye'iq'et,nye'ik'üt,yix-aconak-ta,ye'ik'et,rubaniquil,iwewan,,jix-oconak,key
βασιλεύς,126,unigram,masculine,accusative,plural,reyes,2.6434372571949445,gobernadores,q'atoy,gobernadores,reyes,reyes,reyes,gobernadores,reyes,,king
βασιλεύς,68,unigram,masculine,accusative,singular,Rey,1.5318665880783746,Rey,rey,Rey,Rey,Rey,i-Rey,rey,I-Rey,i-Rey,king
βασιλεία,92,unigram,feminine,accusative,plural,,,jotol,xuk'uaj,xuc'uaj,jotal,xuc'uaj,cajawaren,reinos,naciones,naciones,kingdom
βασιλεία,187,unigram,feminine,accusative,singular,,,gobernar,rajawaren,ruk,ruk,rajavaren,rajawaren,ru-reino,ru-reino,gobernar,kingdom
κόπος,232,unigram,masculine,accusative,plural,yixtane,1.948462235292621,ninak,yixtane,nyixtane,yixtane-ta-ka,yixtane,,ngixwalal,,jixtane,"labour, work, trouble, difficulty"
λύχνος,266,unigram,masculine,nominative,singular,sakil,1.5218068520335115,sakil,saqil,sük,lámpara,sakil,k'ak,lámpara,sakil,luz,lamp
κλῆρος,116,unigram,masculine,accusative,plural,nquic'uala-e,1.0960622061228922,,,nquic'uala-e,,,,,,,"lots (casting of lots), inheritance"
κλῆρος,1,unigram,masculine,accusative,singular,,,rutziak,etz'anen,atz'anin,sortear,etz'anen,xesaquin,etzꞌanin,suerte,suerte,"lots (casting of lots), inheritance"
ἄνθρωπος,337,unigram,masculine,accusative,plural,chiquij,1.3940559059974555,,winaqi,vinük,vinak,chiquij,winek,wineq,ley,chiquij,man
ἄνθρωπος,295,unigram,masculine,accusative,singular,nitz'ilobisan,2.4084590229681457,nibano,achin,tz'il,nitz'ilbisan,nitz'ilobisan,nitz'ilobisan,achi,tzꞌil,nutz'iluj,man
ἄνθρωπος,139,unigram,masculine,nominative,plural,,,vinak,,,,,Cesarea,wineq,,,man
ἄνθρωπος,206,unigram,masculine,nominative,singular,achi,23.944820084163542,jun,achin,achi,ache,achin,achi,achi,ache,achi,man
ἀνήρ,288,unigram,masculine,accusative,singular,,,,rachijil,,avchijil,,,awachijil,,,"man, husband"
ἀνήρ,172,unigram,masculine,nominative,plural,,,achi,xe'ajlex,mil,achi,achi,mil,achiꞌaꞌ,achiꞌaꞌ,mil,"man, husband"
ἀνήρ,275,unigram,masculine,nominative,singular,achi,4.681422823308569,achi,achin,achi,ache,achin,xbexuque,achi,ache,achi,"man, husband"
μνᾶ,340,unigram,feminine,accusative,plural,lajuj,2.648510385798046,lajuj,mul,tumin,tanto,quetzales,lajuj,lajuj,diez,mero,mina (about 100 days' wages)
μνᾶ,15,unigram,feminine,accusative,singular,xch'acon,1.6716746306703953,Tic'ama,xch'ako,xch'acon,,xch'acon,Tiwelesaj,ruchꞌakon,,Timaja,mina (about 100 days' wages)
πρωτοκαθεδρία,124,unigram,feminine,accusative,plural,tibix,1.4216392975485483,yetz'uye,,tibix,tibex,tibix,yequicanola,ngeꞌoyox,chꞌacat,ch'aquet,"most important seat, seat of honour"
πρωτοκαθεδρία,40,unigram,feminine,accusative,singular,,,,,nye'icanola,ye'canola,,ye'icanola,ngixtzꞌuyeꞌ,niquimol-ve-quiꞌ,,"most important seat, seat of honour"
μήτηρ,114,unigram,feminine,accusative,plural,,,,rute,Nuc'ul,,Xtuc'ul,,,,,mother
μήτηρ,319,unigram,feminine,accusative,singular,rute-rutata,17.264959361742537,rute-rutata,rute-rutata,rute-rutata,rute-rutota,rute-rutata,rute,rute-rutataꞌ,rutie-rutataꞌ,rute-rutata,mother
ὄρος,250,unigram,neuter,accusative,plural,,,que'enimaj-e,Judea,juyu,c'achelaj,juyu,quixanmej,keꞌanimej,caꞌnumaj-el,Judea,mountain
ὄρος,303,unigram,neuter,accusative,singular,juyu,88.68054528445208,juyu,juyu,juyu,loma,juyu,juyu,juyuꞌ,juyuꞌ,juyu,mountain
μύρον,103,unigram,neuter,accusative,plural,xe'uxlan,1.6355966396524668,xe'uxlan,,,xe'xulan,,xe'uxlan,,xaꞌuxlan,xe'uxlan,myrrh
μύρον,30,unigram,neuter,accusative,singular,,,numukic,,,amor,,nuchojmil,xuqꞌij,,,myrrh
ὄνομα,102,unigram,neuter,accusative,plural,Boanerges,1.7537569498871917,Boanerges,Boanerges,,Boanerges,Boanerges,,Boanerges,,,name
ὄνομα,39,unigram,neuter,accusative,singular,,,nubi,nubi,rubi,confiar-ivi,rubi,icukuban,itaqin,iyoꞌn,,name
ὄνομα,122,unigram,neuter,nominative,plural,ibꞌiꞌ,1.2388312291556534,,,,,,,ibꞌiꞌ,,,name
ὄνομα,289,unigram,neuter,nominative,singular,rubini'an,3.465677708923193,rubinan,rubini'an,rubini'an,rubini'an,rubini'an,rubi,rubꞌiniꞌan,rubꞌinan,abi,name
ἔθνος,264,unigram,neuter,accusative,plural,,,quivech,nubi,ruch'ulef,naciones,ruvach'ulef,ruwach'ulef,kiwech,naciones,nubi,nation
ἔθνος,225,unigram,neuter,accusative,singular,,,xquequitak,xkeyakatej-el,nyecatüj-e,,xqueyacatej-el,,ki-soldados,xtipalaj,xquiecataj,nation
ἔθνος,343,unigram,neuter,nominative,plural,Itata,1.8386686670036043,Itata,retaman,Itata,quitaman-ta,Itata,Itata,ngekꞌatzin,niquicanuj,Itata,nation
ἔθνος,29,unigram,neuter,nominative,singular,,,xquequitak,xkeyakatej-el,nyecatüj-e,,xqueyacatej-el,,ki-soldados,xtipalaj,xquiecataj,nation
νύξ,219,unigram,feminine,accusative,plural,ak,1.5846333154442165,ak,aq,ak,chuxe,ak,ak,aqꞌaꞌ,akꞌaꞌ,ak,night
νύξ,283,unigram,feminine,accusative,singular,chak,2.243952928345531,chak,,,,,,chaqꞌaꞌ,chakꞌaꞌ,chak,night
ὅρκος,69,unigram,masculine,accusative,plural,jurar,12.111596803823357,ru'in-vi,xubij-wi,jurar,jurar,jurar,jurar,xbꞌison,jurar,jurar,oath
ὅρκος,302,unigram,masculine,accusative,singular,kamama,1.3656560386611498,xtuya-vi,qamama'.Ri,Xbün-vi,xsuj,kamama,kamama,jurarChare,Abrahamchi,,oath
βοῦς,177,unigram,masculine,accusative,plural,,,,jaloy-ruwech,q'uexoy-ruvüch,ye'jalo,jaloy-ruvech,q'uexoy,,niquicꞌax,niquijalala,ox
παραβολή,298,unigram,feminine,accusative,plural,ejemplos,5.598561904319242,ejemplo,k'ambel-tzij,ejemplos,ejemplos,c'ambel,c'ambel,parábolas,cꞌambꞌal-tzij,ejemplos,parable
παραβολή,256,unigram,feminine,accusative,singular,ejemplo,241.13663983188616,ejemplo,k'ambel-tzij,ejemplo,ejemplo,c'ambel-tzij,c'ambel,parábola,parábola,ejemplo,parable
μέρος,389,unigram,neuter,accusative,plural,lugar,1.3166316708097416,,,ncanaj,lugar,nicanej,lugar,xbꞌix,lugar,lugar,part
μέρος,60,unigram,neuter,accusative,singular,xtuya-wi,1.5485707270272513,ch'eyoji,xtuya-wi,nuya-vi,castigo,xtuya-vi,xtuc'ajsaj,nderuyaꞌ,nayaꞌ,xtuya-wi,part
μαργαρίτης,258,unigram,masculine,accusative,plural,perlas,7.431224553153453,,rejqalen,vekbül-abüj,perlas,nibix,nibix,perlas,perlas,abaj,pearls
μαργαρίτης,42,unigram,masculine,accusative,singular,perla,1.096057314542422,,,,,,,perla,,,pearls
τόπος,313,unigram,masculine,accusative,plural,Xquepe,1.1291144801617863,cobrakan,Xkepe,Nyepu,Xque'pa,Xquepe,Xquepe,Jalajaj,cubꞌrakan,,place
τόπος,336,unigram,masculine,accusative,singular,lugar,65.06488387540607,lugar,akuchi,lugar,lugar,lugar,acuchi,lugar,lugar,lugar,place
πρωτοκλισία,317,unigram,feminine,accusative,plural,va'in,1.0686384254544832,ch'aquet,,va'in,va'in,va'in,ch'aquet,ngetzꞌuyeꞌ,chꞌacat,wa'in,place of honor
πρωτοκλισία,41,unigram,feminine,accusative,singular,ch'aquet,6.527663418482686,ch'aquet,nabey,ch'acüt,,ch'aquet,ch'aquet,ngetzꞌuyeꞌ,chꞌacat,ch'aquet,place of honor
ὄφις,123,unigram,masculine,accusative,singular,cumatz,11.303737716130714,cumatz,kumetz,cumütz,cumatz,cumetz,cumatz,kumetz,cumatz,cumetz,poison
σκεῦος,160,unigram,neuter,accusative,plural,,,,,,,,nuxim,nduxim,,nucanoj-e,"possession, object, thing, jar, vessel"
σκεῦος,294,unigram,neuter,accusative,singular,,,,,aka,ejka,ruva-jay,ruwajay,kikꞌay,quicꞌuan,,"possession, object, thing, jar, vessel"
σκεῦος,150,unigram,neuter,nominative,plural,,,yerelesaj-e.,o-q'anej,titzolij,no'rc'ama-pa.,toc-apo,rucosas,nderukꞌamaꞌ,niruma-pa.,toc,"possession, object, thing, jar, vessel"
δύναμις,125,unigram,feminine,accusative,plural,milagros,10.745119474938644,milagros,meyel,milagros,milagros,milagros,milagros,milagros,milagros,milagros,"power, ability, miracle"
δύναμις,54,unigram,feminine,accusative,singular,uchuk,3.446596169031492,uchuk,uchuq,ruchuk,poder,uchuk,uchuk,uchuqꞌaꞌ,poder,uchuk,"power, ability, miracle"
δύναμις,95,unigram,feminine,nominative,plural,milagros,20.75423422072274,milagros,banobel,milagros,milagros,milagros,milagros,milagros,milagros,milagros,"power, ability, miracle"
δύναμις,135,unigram,feminine,nominative,singular,ruchuk,1.9700139955739737,,ruchuq,ruchuk,,ruchuk,yeruc'achojsaj,ngerukꞌachojrisaj,ru-poder,ruchuk,"power, ability, miracle"
ἱερεύς,22,unigram,masculine,nominative,plural,isiq'uin-vi,1.20141680414292,yesamaj,yesamej-wi,isiq'uin-vi,xajan-ta,isiq'uin-vi,isiq'uin,ngesamej,ncaꞌsamaj-ve,yesamaj-wi,priest
ἱερεύς,279,unigram,masculine,nominative,singular,sacerdote,4.274821799680743,israelita,,sacerdote,sacerdote,sacerdote,sacerdote,israelita,sacerdote,sacerdote,priest
φυλακή,27,unigram,feminine,accusative,singular,cárcel,816.4318144277604,cárcel,cárcel,cárcel,cárcel,cárcel,cárcel,cheꞌ,cárcel,cárcel,prison
προφήτης,72,unigram,masculine,accusative,plural,profetas,28.81055802204388,profetas,ruch'abel,xek'alajrisan,profetas,xek'alajirisan,profetas,profetas,profetas,xek'alajin,prophet
προφήτης,230,unigram,masculine,accusative,singular,profeta,61.65186528304366,profeta,q'alajirisey,k'alajrisüy,profeta,k'alajirisey,profeta,profeta,profeta,nuk'alajij,prophet
προφήτης,257,unigram,masculine,nominative,plural,profetas,11.688042310554705,profetas,ruch'abel,xek'alajrisan,profetas,xek'alajirisan,profetas,profetas,profetas,xek'alajin,prophet
προφήτης,304,unigram,masculine,nominative,singular,profeta,218.56145161776786,profeta,q'alajirisey,k'alajrisüy,profeta,k'alajirisey,profeta,profeta,profeta,nuk'alajij,prophet
βαλλάντιον,21,unigram,neuter,accusative,singular,,,,peqes,morral,,,yabel,,,,purse
ποταμός,146,unigram,masculine,nominative,plural,Xka,1.116369076325502,,Xqaqa,Xka-ka,xe'beq'uiy-pa,Xka,Xka,,ríos,xtzak,river
ποταμός,195,unigram,masculine,nominative,singular,ru-cimiento,1.285951467813284,xberuc'aka-ri,xberila,ru-cimiento,xbenimar-pa,ru-cimiento,rucimiento,,,ru-cimiento,river
λῃστής,49,unigram,masculine,accusative,plural,elek'oma,15.898587238944392,elek'oma,eleq'oma,elek'oma,elek'oma,elek'oma,alek'oma,,alakꞌomaꞌ,elek'oma,robber
λῃστής,388,unigram,masculine,accusative,singular,,,,ik'amon-pe,,¿Yex,,¿Xich'ob,chutzꞌamik,,,robber
λῃστής,364,unigram,masculine,nominative,plural,elek'oma,68.2940062751257,elek'oma,eleq'oma,elek'oma,elek'oma,elek'oma,alek'oma,eleqꞌomaꞌ,alakꞌomaꞌ,elek'oma,robber
λῃστής,183,unigram,masculine,nominative,singular,elek'on,3.966184225323721,elek'on,,elek'on,elek'om,elek'on,alek'om,,alakꞌuon,elek'om,robber
ἄρχων,237,unigram,masculine,accusative,plural,comon,1.1252045027378998,xeroyoj,kachibil,comon,je'tzakatal-apo,comon,comon,xeroyoj,autoridades,autoridad,ruler
ἄρχων,112,unigram,masculine,accusative,singular,,,yaterutz'apij,,,nujach-a,,,,,,ruler
ἄρχων,76,unigram,masculine,nominative,plural,chikacojol,1.4915143260053836,gobernar,,chikacojol,ye'bano,chikacojol,tzij,kiqꞌaꞌ,Cristo,,ruler
ἄρχων,358,unigram,masculine,nominative,singular,chapayon,2.568238936781743,o,chapayon,tz'amayon,tz'amayon,chapayon,chapayon,rajawal,principal,rajawal,ruler
ἀκοή,8,unigram,feminine,accusative,plural,,,,Xtiwak'axala,cha,,xtivac'axala,yebanatej,ngetzꞌukutej,,guerras,rumor
ἀκοή,88,unigram,feminine,accusative,singular,Chupan,1.1777754550005275,rucaj,Antipas,Chupan,elinak,Chupan,caji,tetrarca,gobernador,,rumor
ἀκοή,189,unigram,feminine,nominative,plural,,,xsok'opitaj,xak'ex,xrac'axaj,xtiquir,xaq'uex,xac'axan,xakꞌaxan,xcꞌaxan,xc'oxan,rumor
ἀκοή,375,unigram,feminine,nominative,singular,rutzijol,3.9784316463317264,rutzijol,rutzijol,rutzijol,rutzijol,rutzijol,rutzijol,rutzijol,rutzijoxic,rutzijol,rumor
βιβλίον,65,unigram,neuter,accusative,plural,yetz'ibes,1.096071996175396,yetz'ibes,,,,,,,,,"scroll, book"
βιβλίον,62,unigram,neuter,accusative,singular,,,vuj,wuj,vuj,nubij-va,vuj,wuj,wuj,nuꞌej-ve,,"scroll, book"
διάκονος,252,unigram,masculine,nominative,plural,xe'pajo,1.0960768946513286,,,,xe'pajo,,,,,,"servant, minister, deacon"
διάκονος,107,unigram,masculine,nominative,singular,ruk'ij,1.3015401031713958,ruk'ij,nrajo,ruk'ij,tusuju-ri,nuna-ka-ri,tuch'utinirisaj,isamajel,servir,,"servant, minister, deacon"
δοῦλος,244,unigram,masculine,accusative,plural,rusamajela,33.13772264797243,rusamajela,rusamajela,rusamajela,ru-mozos,rusamajela,rumozos,rusamajelaꞌ,rusamajiel,rusamajel,"servant, slave"
δοῦλος,31,unigram,masculine,accusative,singular,rusamajel,9.32665485052915,rusamajinel,rusamajel,rusamajel,ru-mozo,raj-ic,rumozo,rusamajel,ru-esclavo,rusamajel,"servant, slave"
δοῦλος,121,unigram,masculine,nominative,plural,samajela,14.96841067191569,samajela,samajela,samajela,ru-mozos,samajela,mozos,samajelaꞌ,ru-esclavos,samajel,"servant, slave"
δοῦλος,238,unigram,masculine,nominative,singular,samajel,13.358915636688943,samajinel,samajel,samajel,ru-patrón,samajel,mozo,samajel,siervo,samajel,"servant, slave"
πρόβατον,368,unigram,neuter,accusative,plural,ovejas,167.5212327186492,ovejas,l,ovejas,ovejas,l,l,karneꞌl,ovejas,ovejas,sheep
πρόβατον,167,unigram,neuter,accusative,singular,l,2.179211268597556,,l,,,l,l,,,,sheep
ποιμήν,287,unigram,masculine,nominative,plural,qui-ovejas,1.6949676491074126,yuk'unel,yuq'unela,yuk'uy,,aj-yuk,yuk,yuqꞌunelaꞌ,qui-ovejas,qui-ovejas,"shepherd, pastor"
ποιμήν,329,unigram,masculine,nominative,singular,ovejas,2.0908719195613155,ovejas,yuq'unel,K'uyunel,ovejas,l,l,yuqꞌunel,ovejas,ovejas,"shepherd, pastor"
σημεῖον,163,unigram,neuter,accusative,plural,milagros,8766.399341822213,milagros,meyel,milagros,milagros,milagros,milagros,retal,milagros,milagros,sign
σημεῖον,149,unigram,neuter,accusative,singular,milagro,51.45334463431784,milagro,meyel,milagro,señal,milagro,milagro,retal,señal,milagro,sign
σημεῖον,51,unigram,neuter,nominative,plural,tz'eton,4.811044542355645,retal,,tz'eton,,tz'eton,tz'eton,etal,señales,je-tz'eton,sign
σημεῖον,106,unigram,neuter,nominative,singular,retal,168.0052943169255,retal,retal,retal,señal,retal,retal,etal,señal,retal,sign
δραχμή,197,unigram,feminine,accusative,singular,,,,,,,,,moneda,dracma,,"silver coin, drachma"
ἀργύριον,249,unigram,neuter,accusative,plural,mero,1.0851269197858113,méra,méro,sakpük,,mero,sakapuek,,monedas,mero,"silver, money"
ἀργύριον,379,unigram,neuter,accusative,singular,mero,3.319125146814728,méra,xkisuj,tumin,mero,mero,puek,saqipueq,miera,mero,"silver, money"
ἁμαρτία,324,unigram,feminine,accusative,plural,mac,11.774642932286104,perdonar,mak,mac,mac,mac,mac,kimak,perdonar,mac,sin
ἁμαρτία,253,unigram,feminine,accusative,singular,,,mac,kimak,romari,rumac,romari,quimac,man,qui-pecado,quimac,sin
ἁμαρτία,333,unigram,feminine,nominative,plural,xecuyutej,2.598926745174517,xe'an,sikirineq,xecuyutüj,siquirnak,xecuyutej,xecuyutej,xekuyutej,a-pecados,,sin
ἁμαρτία,330,unigram,feminine,nominative,singular,mac,2.1955655815716364,mac,mak,mac,,mac,,mak,i-pecado,,sin
ἀδελφή,355,unigram,feminine,accusative,plural,ralc'ual,1.1471069574737074,rana,ralk'ual,ralc'ual,rulef,ralc'ual,c'ajola,eranaꞌ,ranaꞌ,rach'alal,sister
ἀδελφή,156,unigram,feminine,accusative,singular,Marta,18.116454105526472,Marta,Marta,Marta,Marta,Marta,Marta,Marta,Marta,Marta,sister
ἀδελφή,23,unigram,feminine,nominative,plural,rana,104.5594128025708,rana,rana,rana,rana,rana,rana,ranaꞌ,ranaꞌ,rana,sister
ἀδελφή,354,unigram,feminine,nominative,singular,Marta,1.5370270127067645,Marta,Marta,vana,,,,Marta,Marta,wana,sister
ῥάπισμα,178,unigram,neuter,accusative,plural,,,¡Caquicot,,,,,,,,xquipak'ala,"slap, strike, hit"
ῥάπισμα,316,unigram,neuter,accusative,singular,xach'on-apo,1.823885783623288,,xach'on-apo,,,xach'on-apo,xupak'ij,xutzꞌajij,,,"slap, strike, hit"
πλοιάριον,271,unigram,neuter,nominative,plural,,,xetzuk-vi,,xquic'ux-vi,xe'rutzuk,xquitej-vi,Tiberias,xerutzuq,xquicꞌux-ve,xquitaj-wi,small boat
πλοιάριον,162,unigram,neuter,nominative,singular,canoa,1.9005424097670838,canoa,barco,canoa,canoa,canoa,jucu,barco,barco,canoa,small boat
ὀψάριον,212,unigram,neuter,accusative,plural,,,xqueru'on-vi,,nkaya-apu,,xtikaya-apo,,Waweꞌ,cebada,xtakaya-apo,small fish
ὀψάριον,297,unigram,neuter,accusative,singular,,,quer,ker,cür,car,quer,car,ker,car,quer,small fish
υἱός,56,unigram,masculine,accusative,plural,ruc'ajol,2.6907379302507253,Zebedeo,ruk'ajol,ruc'ajol,ruc'ajol,ruc'ajol,ruc'ajol,Zebedeo,Zebedeo,ralc'ual,son
υἱός,148,unigram,masculine,accusative,singular,xinalex,1.1200854265793374,xinalex,xiqaqa-pe,xinalüx,xinalax,xinalex,C'ajolaxel,xinuꞌalex,xalax,,son
υἱός,151,unigram,masculine,nominative,plural,ralc'ual,4.8249408599141645,l,ralk'ual,ralc'ual,rajc'ual,ralc'ual,ralc'ual,ralkꞌuaꞌl,ralcꞌual,ralc'ual,son
υἱός,246,unigram,masculine,nominative,singular,xinalex,1.1278124224268795,xinalex,xiqaqa-pe,xinalüx,xinalax,xinalex,C'ajolaxel,xinuꞌalex,xalax,xinalex,son
ψυχή,259,unigram,feminine,accusative,plural,nicoch,1.7591454775186266,xquixcolotaj-vi,Tikoch,nicoch,nicoch,nicoch,coch'onic,,i-paciencia,nicoch,"soul, life"
ψυχή,327,unigram,feminine,accusative,singular,ruc'aslen,1.312909773034873,ruc'aslen,ruk'aslen,ruc'aslen,nupokonaj-ta,xtril,ruc'aslen,ngiroqaj,rucꞌaslien,,"soul, life"
ἀστήρ,338,unigram,masculine,nominative,plural,,,xquetzak-e,xkesilon,nyesilon,xque'betzakalam-pa,,xquesilon,,xcaꞌtzak-pa,xquietzak-pe,star
ἀστήρ,221,unigram,masculine,nominative,singular,,,ruc'uan-e,,,,,ch'umil,chꞌumil,,,star
λίθος,342,unigram,masculine,accusative,plural,abej,1.7318721750679804,niquic'ak,nikik'eq,abüj,aboj,abej,abej,ndikikꞌeq,abꞌaj,abaj,stone
λίθος,44,unigram,masculine,accusative,singular,abej,12.695273332736676,abaj,abej,abüj,aboj,abej,abej,abꞌej,abꞌaj,abaj,stone
λίθος,161,unigram,masculine,nominative,plural,abej,8.951452519080448,abaj,abej,abüj,aboj,abej,abej,abꞌej,abꞌaj,abaj,stone
λίθος,48,unigram,masculine,nominative,singular,abej,2.381145909800953,abaj,abej,abüj,aboj,abej,abej,abꞌej,abꞌaj,abaj,stone
συναγωγή,285,unigram,feminine,accusative,plural,sinagogas,4.762629134478927,sinagoga,nikak'axaj,ntzijos-vi,nitzijos-va,nima-jay,nic'ut,sinagogas,sinagogas,sinagogas,synagogue
συναγωγή,381,unigram,feminine,accusative,singular,sinagoga,43.3120992064415,sinagoga,molojri'il,ntzijos-vi,,nitzijox-vi,nic'ut,sinagoga,sinagoga,sinagoga,synagogue
τράπεζα,227,unigram,feminine,accusative,plural,qui-mesas,1.5998999454674234,qui-mesas,ki-mesa,qui-mesas,,,,ki-mesas,,,table
τράπεζα,164,unigram,feminine,accusative,singular,xitzolin-pe,1.2729246835487205,xitzolij-pe,xitzolin-pe,xintzolij-pe,,xitzolin-pe,xitzolin,banco,,,table
τάλαντον,81,unigram,neuter,accusative,plural,quetzales,1.7996361609675746,talento,q'anapueq,quetzales,quetzales,quetzales,talento,talentos,talentos,quetzales,talent (weight and monetary unit: around 20 years' wages)
τάλαντον,262,unigram,neuter,accusative,singular,,,talento,q'anapueq,quetzales,quetzales,quetzales,talento,talento,talento,quetzales,talent (weight and monetary unit: around 20 years' wages)
φόρος,312,unigram,masculine,accusative,plural,tiquitoj,1.2013309189107515,,,tiquitoj,,,,,tiquitoj,,tax
φόρος,334,unigram,masculine,accusative,singular,,,tikatojo,niqatoj,nkatoj,¿Can,nikatoj,nikatoj,ndikꞌutux,nakatoj,nakatoj,tax
τελώνης,220,unigram,masculine,nominative,plural,moloy,1.3541158324384939,impuestos,moloy,moloy,molay,moloy,c'utuy,rubꞌiꞌ,maloy-impuestos,moloy-impuestos,tax collector
τελώνης,84,unigram,masculine,nominative,singular,,,c'uluy,moloy,moloy-alcaval,molay-impuestos,moloy-alcaval,c'utuy,moloy,maloy-impuestos,moloy-impuesto,tax collector
γραμματεύς,385,unigram,masculine,nominative,plural,etamanela,2.2486172253314116,ley,etamanela,etamanela,ley,etamanela,tz'iba,tijonelaꞌ,escribas,maestros,"teacher, expert in the law, scholar, scribe"
γραμματεύς,247,unigram,masculine,nominative,singular,etamanel,1.8216867019550738,ley,aj-tz'ib,etamanel,Maestro,etamanel,tz'ib,tijonel,escriba,maestro,"teacher, expert in the law, scholar, scribe"
καθηγητής,369,unigram,masculine,nominative,plural,,,Uc'uay,tiwajo,maestro,tijo,tivajo,tijonel,Ibꞌey,,tirayij,"teacher, guide"
καθηγητής,261,unigram,masculine,nominative,singular,,,Uc'uay,tiwajo,maestro,tijo,tivajo,tijonel,Ibꞌey,,tirayij,"teacher, guide"
κλέπτης,97,unigram,masculine,nominative,plural,,,nipusir,,,elek'oma,,,,alakꞌomaꞌ,nichicopir,thief
κλέπτης,260,unigram,masculine,nominative,singular,elek'on,10.395114119063196,elek'on,eleq'om,elek'on,elek'om,elek'on,alek'om,eleqꞌon,alakꞌuon,elek'om,thief
διαλογισμός,339,unigram,masculine,accusative,plural,retaman,2.422904268230368,niquinojij,retaman,nquinuc,niquinojij,retaman,retaman,retaman,rataꞌn,niquinojij,"thought, argument"
διαλογισμός,170,unigram,masculine,accusative,singular,,,,xberuk'ama-pe,chunuquic,xbo'rpoba,chuch'obic,xupaba,,xbꞌaruma-pa,xberuc'ama-pe,"thought, argument"
διαλογισμός,140,unigram,masculine,nominative,plural,,,,ch'obonik,,,ch'obonic,quic'ulaj,,,,"thought, argument"
διαλογισμός,332,unigram,masculine,nominative,singular,xquich'ojila,7.474427590673737,niquichok'omayila,xkich'ojila,xquich'ojila,xquich'ojela,xquich'ojila,xquich'ojila,ndikichuquchaꞌ,quiꞌ,xquich'ojij,"thought, argument"
θρόνος,276,unigram,masculine,accusative,singular,,,xtitz'uye,,,xtiyi,,,,ru-trono,xtuch'ocoba,throne
χρόνος,308,unigram,masculine,accusative,plural,xutic,1.0663329420703158,,xutik,Xutz'om,niquisamajij,Xuchop,xutic,xbꞌerutikaꞌ,,xutic,time
χρόνος,267,unigram,masculine,accusative,singular,,,tiempo,,ruch'umil,ch'umil,retaman,Yac'ari,chꞌumil,qꞌuiy,reta,time
καιρός,90,unigram,masculine,nominative,plural,eyutun,1.096185247111637,,,,,,,eyutun,,,"time, right time"
καιρός,166,unigram,masculine,nominative,singular,ruk'ijul,2.9706163675198463,tiempo,ruq'ijul,ruk'ijul,xe'rutak-a,ruk'ijul,ruk'ijul,tiempo,nu-huora,cuenta,"time, right time"
τάφος,153,unigram,masculine,accusative,plural,,,ye'ivik,niwiq,,ye'vak,,niwik,,ncaꞌivak,,"tomb, grave"
τάφος,204,unigram,masculine,accusative,singular,jul,1.777231330169151,ru-cuerpo,muqun-wi,mukun-vi,xmuk-va,mukun-vi,mukun,jul,jul,jul,"tomb, grave"
μνημεῖον,16,unigram,neuter,accusative,plural,,,emukul-vi,ye'ichojmirisala,tz'ak,qui-panteón,mukul-vi,,emuqul,nquiꞌchojmij,,"tomb, grave"
μνημεῖον,20,unigram,neuter,accusative,singular,jul,127.92347192436958,jul,jul,jul,jul,jul,jul,jul,jul,jul,"tomb, grave"
μνημεῖον,93,unigram,neuter,nominative,plural,jul,1.2800255076854532,quijul,,,je'mukun-va,caminaki,caminek,kikꞌojlibꞌel,jul,jul,"tomb, grave"
μνημεῖον,301,unigram,neuter,nominative,singular,jul,11.213249859762813,Chiri,jul,jul,jul,jul,jul,naqaj,jul,jul,"tomb, grave"
ὀδούς,82,unigram,masculine,accusative,singular,,,,niq'ajo-el,nk'ajon-e,,nik'ajon-el,nik'ajo,,,nuk'aj,tooth
