lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1684_translation,version_1685_translation,version_1682_translation,version_1680_translation,version_1679_translation,version_1669_translation,version_1681_translation,version_1674_translation,version_1666_translation,version_1665_translation,version_1671_translation,version_1667_translation,version_1670_translation,version_1675_translation,version_1673_translation,version_1677_translation,version_1683_translation,version_1676_translation,version_1672_translation,version_1668_translation,version_1664_translation,version_1663_translation,version_1678_translation,english_translation
ἡμέρα,2,unigram,feminine,nominative,plural,दिनानि,2.53984025116826,,,,,,,,,,,,,,,,,,,,,,दिनानि,,day
ἡμέρα,54,unigram,feminine,nominative,singular,dine,10.643728580541357,ဒိနေ,ទិនេ,ทิเน,ദിനേ,ದಿನೇ,dinē,දිනේ,ਦਿਨੇ,dine,dine,दिने,dine,دِنے,દિને,দিনে,தி³நே,དིནེ,ଦିନେ,দিনে,dine,dinE,दिनस्‍य,దినే,day
δαιμόνιον,25,unigram,neuter,accusative,plural,bhUtAn,43.68175220405119,ဘူတာန်,ភូតាន៑,ภูตานฺ,ഭൂതാൻ,ಭೂತಾನ್,bhūtān,භූතාන්,ਭੂਤਾਨ੍,bhUtAn,bhuutaan,भूतान्,bhUtAn,بھُوتانْ,ભૂતાન્,ভূতান্,பூ⁴தாந்,བྷཱུཏཱན྄,ଭୂତାନ୍,ভূতান্,bhūtān,bhUtAn,अपदूतान्‌,భూతాన్,demon
δαιμόνιον,271,unigram,neuter,accusative,singular,bhUtagrasta,21.718778339041382,ဘူတဂြသ္တ,ភូតគ្រស្ត,ภูตคฺรสฺต,ഭൂതഗ്രസ്ത,ಭೂತಗ್ರಸ್ತ,bhūtagrasta,භූතග්‍රස්ත,ਭੂਤਗ੍ਰਸ੍ਤ,bhUtagrasta,bhuutagrasta,भूतग्रस्त,bhUtagrasta,بھُوتَگْرَسْتَ,ભૂતગ્રસ્ત,ভূতগ্ৰস্ত,பூ⁴தக்³ரஸ்த,བྷཱུཏགྲསྟ,ଭୂତଗ୍ରସ୍ତ,ভূতগ্রস্ত,bhūtagrasta,bhUtagrasta,भूताविष्‍टः,భూతగ్రస్త,demon
δαιμόνιον,157,unigram,neuter,nominative,plural,bhUtA,3.2377483910121065,ဘူတာ,ភូតា,ภูตา,ഭൂതാ,ಭೂತಾ,bhūtā,භූතා,ਭੂਤਾ,bhUtA,bhuutaa,भूता,bhUtA,بھُوتا,ભૂતા,ভূতা,பூ⁴தா,བྷཱུཏཱ,ଭୂତା,ভূতা,bhūtā,bhUtA,अपदूताः,భూతా,demon
δαιμόνιον,138,unigram,neuter,nominative,singular,bhUtastaM,2.179753825976081,ဘူတသ္တံ,ភូតស្តំ,ภูตสฺตํ,ഭൂതസ്തം,ಭೂತಸ್ತಂ,bhūtastaṁ,භූතස්තං,ਭੂਤਸ੍ਤੰ,bhUtastaM,bhuutasta.m,भूतस्तं,bhUtastaM,بھُوتَسْتَں,ભૂતસ્તં,ভূতস্তং,பூ⁴தஸ்தம்ʼ,བྷཱུཏསྟཾ,ଭୂତସ୍ତଂ,ভূতস্তং,bhūtastaṁ,bhUtastaM,अपदूतः,భూతస్తం,demon
δηνάριον,251,unigram,neuter,accusative,plural,pari,1.4571909474967588,,,,,,,,,,pari,,,,,,,,,,,,,,denarius (about a day's wages)
δηνάριον,128,unigram,neuter,accusative,singular,,,,,,,,,,,,mudraacaturthaa.m,,,,,,,,,,,,दीनारम्‌,,denarius (about a day's wages)
μαθητής,142,unigram,masculine,accusative,plural,,,ၑိၐျာန်,ឝិឞ្យាន៑,ศิษฺยานฺ,ശിഷ്യാൻ,ಶಿಷ್ಯಾನ್,śiṣyān,ශිෂ්‍යාන්,ਸ਼ਿਸ਼਼੍ਯਾਨ੍,ziSyAn,si.syaan,शिष्यान्,shiShyAn,شِشْیانْ,શિષ્યાન્,শিষ্যান্,ஸி²ஷ்யாந்,ཤིཥྱཱན྄,ଶିଷ୍ୟାନ୍,শিষ্যান্,śiṣyān,ziSyAn,शिष्‍यान्‌,శిష్యాన్,disciple
μαθητής,276,unigram,masculine,accusative,singular,যীশোঃ,1.067460416715185,ယီၑေား,យីឝោះ,ปศฺจาทฺ,യീശോഃ,ಯೀಶೋಃ,yīśōḥ,යීශෝඃ,ਯੀਸ਼ੋਃ,yIzoH,priyatama,यीशोः,yIshoH,یِیشوح,યીશોઃ,যীশোঃ,யீஸோ²​,ཡཱིཤོཿ,ଯୀଶୋଃ,যীশোঃ,yīśoḥ,yIzOH,शिष्‍यम्‌,యీశోః,disciple
μαθητής,223,unigram,masculine,nominative,plural,,,ၑိၐျာ,ឝិឞ្យា,ศิษฺยา,ശിഷ്യാ,ಶಿಷ್ಯಾ,śiṣyā,ශිෂ්‍යා,ਸ਼ਿਸ਼਼੍ਯਾ,ziSyA,si.syaa,शिष्या,shiShyA,شِشْیا,શિષ્યા,শিষ্যা,ஸி²ஷ்யா,ཤིཥྱཱ,ଶିଷ୍ୟା,শিষ্যা,śiṣyā,ziSyA,शिष्‍याः,శిష్యా,disciple
μαθητής,274,unigram,masculine,nominative,singular,শিষ্যো,7.629250379000568,ၑိၐျော,ឝិឞ្យោ,ศิโษฺย,ശിഷ്യോ,ಶಿಷ್ಯೋ,śiṣyō,ශිෂ්‍යෝ,ਸ਼ਿਸ਼਼੍ਯੋ,ziSyo,si.syo,शिष्यो,shiShyo,شِشْیو,શિષ્યો,শিষ্যো,ஸி²ஷ்யோ,ཤིཥྱོ,ଶିଷ୍ୟୋ,শিষ্যো,śiṣyo,ziSyO,शिष्‍यः,శిష్యో,disciple
νόσος,59,unigram,feminine,accusative,singular,,,ၑမယန်,ឝមយន៑,ศมยนฺ,ശമയൻ,ಶಮಯನ್,śamayan,ශමයන්,ਸ਼ਮਯਨ੍,zamayan,samayan,शमयन्,shamayan,شَمَیَنْ,શમયન્,শমযন্,ஸ²மயந்,ཤམཡན྄,ଶମଯନ୍,শমযন্,śamayan,zamayan,दौर्बल्‍यं,శమయన్,disease
περιστερά,43,unigram,feminine,accusative,singular,कपोतरूपे,2.2064041517192194,,,,,,,,,,,,,,,,,,,,,,कपोतरूपे,,dove
οὖς,120,unigram,neuter,accusative,plural,,,ၑြောတုံ,ឝ្រោតុំ,โศฺรตุํ,ശ്രോതും,ಶ್ರೋತುಂ,śrōtuṁ,ශ්‍රෝතුං,ਸ਼੍ਰੋਤੁੰ,zrotuM,srotu.m,श्रोतुं,shrotuM,شْروتُں,શ્રોતું,শ্ৰোতুং,ஸ்²ரோதும்ʼ,ཤྲོཏུཾ,ଶ୍ରୋତୁଂ,শ্রোতুং,śrotuṁ,zrOtuM,श्रोत्रे,శ్రోతుం,ear
οὖς,229,unigram,neuter,accusative,singular,प्रकाशे,1.06507176746813,,,,,,,,,,,,,,,,,,,,,,प्रकाशे,,ear
σεισμός,162,unigram,masculine,nominative,plural,,,ဒုရ္ဘိက္ၐံ,ទុព៌្ហិក្ឞំ,ทุรฺภิกฺษํ,ദുർഭിക്ഷം,ದುರ್ಭಿಕ್ಷಂ,durbhikṣaṁ,දුර්භික්‍ෂං,ਦੁਰ੍ਭਿਕ੍ਸ਼਼ੰ,durbhikSaM,durbhik.sa.m,दुर्भिक्षं,durbhikShaM,دُرْبھِکْشَں,દુર્ભિક્ષં,দুৰ্ভিক্ষং,து³ர்பி⁴க்ஷம்ʼ,དུརྦྷིཀྵཾ,ଦୁର୍ଭିକ୍ଷଂ,দুর্ভিক্ষং,durbhikṣaṁ,durbhikSaM,भूकम्‍पः,దుర్భిక్షం,"earthquakes, storm"
τέλος,221,unigram,neuter,accusative,singular,শেষং,4.100404567225306,ၑေၐံ,ឝេឞំ,เศษํ,ശേഷം,ಶೇಷಂ,śēṣaṁ,ශේෂං,ਸ਼ੇਸ਼਼ੰ,zeSaM,se.sa.m,शेषं,sheShaM,شیشَں,શેષં,শেষং,ஸே²ஷம்ʼ,ཤེཥཾ,ଶେଷଂ,শেষং,śeṣaṁ,zESaM,स्‍थिरः,శేషం,end
αἰών,195,unigram,masculine,accusative,plural,वंशे,1.2947005191888272,,,,,,,,,,,,,,,,,,,,,,वंशे,,eternity
αἰών,248,unigram,masculine,accusative,singular,kadApi,3.047494180712018,ကဒါပိ,កទាបិ,กทาปิ,കദാപി,ಕದಾಪಿ,kadāpi,කදාපි,ਕਦਾਪਿ,kadApi,kadaapi,कदापि,kadApi,کَداپِ,કદાપિ,কদাপি,கதா³பி,ཀདཱཔི,କଦାପି,কদাপি,kadāpi,kadApi,कदापि,కదాపి,eternity
ὀφθαλμός,17,unigram,masculine,accusative,plural,,,စက္ၐုၐီ,ចក្ឞុឞី,จกฺษุษี,ചക്ഷുഷീ,ಚಕ್ಷುಷೀ,cakṣuṣī,,,cakSuSI,cak.su.sii,चक्षुषी,chakShuShI,چَکْشُشِی,ચક્ષુષી,চক্ষুষী,,ཙཀྵུཥཱི,ଚକ୍ଷୁଷୀ,চক্ষুষী,cakṣuṣī,cakSuSI,दृष्‍टिम्‌,చక్షుషీ,eye
ὀφθαλμός,51,unigram,masculine,nominative,plural,nidrayA,1.2748655061387786,နိဒြယာ,និទ្រយា,นิทฺรยา,നിദ്രയാ,ನಿದ್ರಯಾ,nidrayā,නිද්‍රයා,ਨਿਦ੍ਰਯਾ,nidrayA,nidrayaa,निद्रया,nidrayA,نِدْرَیا,નિદ્રયા,নিদ্ৰযা,நித்³ரயா,ནིདྲཡཱ,ନିଦ୍ରଯା,নিদ্রযা,nidrayā,nidrayA,नेत्राणि,నిద్రయా,eye
ὀφθαλμός,245,unigram,masculine,nominative,singular,,,ဗာဓတေ,ពាធតេ,พาธเต,ബാധതേ,ಬಾಧತೇ,bādhatē,බාධතේ,ਬਾਧਤੇ,bAdhate,baadhate,बाधते,bAdhate,تَرْہِ,બાધતે,বাধতে,பா³த⁴தே,བཱདྷཏེ,ବାଧତେ,বাধতে,bādhate,bAdhatE,,బాధతే,eye
πρόσωπον,152,unigram,neuter,accusative,singular,he,1.0759056039229222,ဟေ,ហេ,เห,ഹേ,ಹೇ,hē,හේ,ਹੇ,he,he,हे,he,ہے,હે,হে,ஹே,ཧེ,ହେ,হে,he,hE,सत्‍येन,హే,face
λιμός,4,unigram,feminine,nominative,plural,,,ဒုရ္ဘိက္ၐံ,ទុព៌្ហិក្ឞំ,ทุรฺภิกฺษํ,ദുർഭിക്ഷം,ದುರ್ಭಿಕ್ಷಂ,durbhikṣaṁ,දුර්භික්‍ෂං,ਦੁਰ੍ਭਿਕ੍ਸ਼਼ੰ,durbhikSaM,durbhik.sa.m,दुर्भिक्षं,durbhikShaM,دُرْبھِکْشَں,દુર્ભિક્ષં,দুৰ্ভিক্ষং,து³ர்பி⁴க்ஷம்ʼ,དུརྦྷིཀྵཾ,ଦୁର୍ଭିକ୍ଷଂ,দুর্ভিক্ষং,durbhikṣaṁ,durbhikSaM,,దుర్భిక్షం,famine
γεωργός,207,unigram,masculine,nominative,plural,,,,,,,,,,,,,,,کرِشِیوَلاسْتَں,,,,,,,,,कृषकाः,,"farmer, tenant"
γεωργός,39,unigram,masculine,nominative,singular,,,သတျဒြာက္ၐာလတာသွရူပေါ,សត្យទ្រាក្ឞាលតាស្វរូបោ,สตฺยทฺรากฺษาลตาสฺวรูโป,സത്യദ്രാക്ഷാലതാസ്വരൂപോ,ಸತ್ಯದ್ರಾಕ್ಷಾಲತಾಸ್ವರೂಪೋ,satyadrākṣālatāsvarūpō,සත්‍යද්‍රාක්‍ෂාලතාස්වරූපෝ,ਸਤ੍ਯਦ੍ਰਾਕ੍ਸ਼਼ਾਲਤਾਸ੍ਵਰੂਪੋ,satyadrAkSAlatAsvarUpo,,सत्यद्राक्षालतास्वरूपो,,سَتْیَدْراکْشالَتاسْوَرُوپو,સત્યદ્રાક્ષાલતાસ્વરૂપો,সত্যদ্ৰাক্ষালতাস্ৱৰূপো,ஸத்யத்³ராக்ஷாலதாஸ்வரூபோ,སཏྱདྲཱཀྵཱལཏཱསྭརཱུཔོ,ସତ୍ୟଦ୍ରାକ୍ଷାଲତାସ୍ୱରୂପୋ,সত্যদ্রাক্ষালতাস্ৱরূপো,satyadrākṣālatāsvarūpo,satyadrAkSAlatAsvarUpO,कृषकः,సత్యద్రాక్షాలతాస్వరూపో,"farmer, tenant"
πατήρ,250,unigram,masculine,accusative,singular,pitaraM,1.4711291784244844,ပိတရံ,បិតរំ,ปิตรํ,പിതരം,ಪಿತರಂ,pitaraṁ,පිතරං,ਪਿਤਰੰ,pitaraM,pitara.m,पितरं,pitaraM,پِتَرَں,પિતરં,পিতৰং,பிதரம்ʼ,པིཏརཾ,ପିତରଂ,পিতরং,pitaraṁ,pitaraM,पितरं,పితరం,father
πατήρ,258,unigram,masculine,nominative,plural,,,ပူရွွပုရုၐာ,បូវ៌្វបុរុឞា,ปูรฺวฺวปุรุษา,പൂർവ്വപുരുഷാ,ಪೂರ್ವ್ವಪುರುಷಾ,pūrvvapuruṣā,පූර්ව්වපුරුෂා,ਪੂਰ੍ੱਵਪੁਰੁਸ਼਼ਾ,pUrvvapuruSA,puurvvapuru.saa,पूर्व्वपुरुषा,pUrvvapuruShA,پُورْوَّپُرُشا,પૂર્વ્વપુરુષા,পূৰ্ৱ্ৱপুৰুষা,பூர்வ்வபுருஷா,པཱུཪྻྭཔུརུཥཱ,ପୂର୍ୱ୍ୱପୁରୁଷା,পূর্ৱ্ৱপুরুষা,pūrvvapuruṣā,pUrvvapuruSA,पूर्वजाः,పూర్వ్వపురుషా,father
πατήρ,148,unigram,masculine,nominative,singular,pitA,152.88006503674475,ပိတာ,បិតា,ปิตา,പിതാ,ಪಿತಾ,pitā,පිතා,ਪਿਤਾ,pitA,pitaa,पिता,pitA,پِتا,પિતા,পিতা,பிதா,པིཏཱ,ପିତା,পিতা,pitā,pitA,पिता,పితా,father
ἀγρός,270,unigram,masculine,accusative,plural,bhaginIM,1.1933074953433587,ဘဂိနီံ,ភគិនីំ,,ഭഗിനീം,ಭಗಿನೀಂ,bhaginīṁ,භගිනීං,ਭਗਿਨੀਂ,bhaginIM,bhaginii.m,भगिनीं,bhaginIM,بھَگِنِیں,ભગિનીં,ভগিনীং,ப⁴கி³நீம்ʼ,བྷགིནཱིཾ,ଭଗିନୀଂ,ভগিনীং,bhaginīṁ,bhaginIM,ग्रामेषु,భగినీం,field
ἀγρός,30,unigram,masculine,accusative,singular,kulAlasya,6.962867303560697,ကုလာလသျ,កុលាលស្យ,กุลาลสฺย,കുലാലസ്യ,ಕುಲಾಲಸ್ಯ,kulālasya,කුලාලස්‍ය,ਕੁਲਾਲਸ੍ਯ,kulAlasya,kulaalasya,कुलालस्य,kulAlasya,کُلالَسْیَ,કુલાલસ્ય,কুলালস্য,குலாலஸ்ய,ཀུལཱལསྱ,କୁଲାଲସ୍ୟ,কুলালস্য,kulālasya,kulAlasya,,కులాలస్య,field
δάκτυλος,141,unigram,masculine,accusative,singular,a,2.5486789532321317,,,,,,,,,,a,,a,,,,,,,,,,पार्श्‍वे,,finger
ἰχθύς,122,unigram,masculine,accusative,plural,শিষ্যেভ্যো,1.497573125017396,ၑိၐျေဘျော,ឝិឞ្យេភ្យោ,ศิเษฺยโภฺย,ശിഷ്യേഭ്യോ,ಶಿಷ್ಯೇಭ್ಯೋ,śiṣyēbhyō,ශිෂ්‍යේභ්‍යෝ,ਸ਼ਿਸ਼਼੍ਯੇਭ੍ਯੋ,ziSyebhyo,miinadvaya,शिष्येभ्यो,mInadvaya,شِشْییبھْیو,શિષ્યેભ્યો,শিষ্যেভ্যো,ஸி²ஷ்யேப்⁴யோ,ཤིཥྱེབྷྱོ,ଶିଷ୍ୟେଭ୍ୟୋ,শিষ্যেভ্যো,śiṣyebhyo,ziSyEbhyO,मीनौ,శిష్యేభ్యో,fish
ἰχθύς,151,unigram,masculine,accusative,singular,যাচিতে,2.489345611907424,ယာစိတေ,យាចិតេ,ยาจิเต,യാചിതേ,ಯಾಚಿತೇ,yācitē,යාචිතේ,ਯਾਚਿਤੇ,yAcite,yaacite,याचिते,yAchite,یاچِتے,યાચિતે,যাচিতে,யாசிதே,ཡཱཙིཏེ,ଯାଚିତେ,যাচিতে,yācite,yAcitE,,యాచితే,fish
δίκτυον,89,unigram,neuter,accusative,plural,jAlaM,18.188913616834377,ဇာလံ,ជាលំ,ชาลํ,ജാലം,ಜಾಲಂ,jālaṁ,ජාලං,ਜਾਲੰ,jAlaM,jaala.m,जालं,jAlaM,جالَں,જાલં,জালং,ஜாலம்ʼ,ཛཱལཾ,ଜାଲଂ,জালং,jālaṁ,jAlaM,जालं,జాలం,fishing net
δίκτυον,160,unigram,neuter,accusative,singular,jAlaM,5.3978394623089,ဇာလံ,ជាលំ,ชาลํ,ജാലം,ಜಾಲಂ,jālaṁ,ජාලං,ਜਾਲੰ,jAlaM,jaala.m,जालं,jAlaM,جالَں,જાલં,জালং,ஜாலம்ʼ,ཛཱལཾ,ଜାଲଂ,জালং,jālaṁ,jAlaM,,జాలం,fishing net
τροφή,198,unigram,feminine,accusative,plural,khAdyadravyANi,1.3167922019170277,ခါဒျဒြဝျာဏိ,ខាទ្យទ្រវ្យាណិ,ขาทฺยทฺรวฺยาณิ,ഖാദ്യദ്രവ്യാണി,ಖಾದ್ಯದ್ರವ್ಯಾಣಿ,khādyadravyāṇi,ඛාද්‍යද්‍රව්‍යාණි,ਖਾਦ੍ਯਦ੍ਰਵ੍ਯਾਣਿ,khAdyadravyANi,khaadyadravyaa.ni,खाद्यद्रव्याणि,khAdyadravyANi,کھادْیَدْرَوْیانِ,ખાદ્યદ્રવ્યાણિ,খাদ্যদ্ৰৱ্যাণি,கா²த்³யத்³ரவ்யாணி,ཁཱདྱདྲཝྱཱཎི,ଖାଦ୍ୟଦ୍ରୱ୍ୟାଣି,খাদ্যদ্রৱ্যাণি,khādyadravyāṇi,khAdyadravyANi,खाद्‌यक्रयार्थम्‌,ఖాద్యద్రవ్యాణి,food
πούς,191,unigram,masculine,accusative,plural,पादौ,1.8146953867670712,,,,,,,,,,,,,,,,,,,,,,पादौ,,foot
καρπός,146,unigram,masculine,accusative,plural,मनसि,1.0893476039082954,,,,,,,,,,,,,,,,,,,,,,मनसि,,"fruit, crop, harvest"
καρπός,188,unigram,masculine,accusative,singular,phalAni,2.8759456993497907,ဖလာနိ,ផលានិ,ผลานิ,ഫലാനി,ಫಲಾನಿ,phalāni,ඵලානි,ਫਲਾਨਿ,phalAni,phalaani,फलानि,phalAni,پھَلانِ,ફલાનિ,ফলানি,ப²லாநி,ཕལཱནི,ଫଲାନି,ফলানি,phalāni,phalAni,फलानि,ఫలాని,"fruit, crop, harvest"
πλήρωμα,219,unigram,neuter,accusative,plural,,,ဍလ္လကာန်,ឌល្លកាន៑,ฑลฺลกานฺ,ഡല്ലകാൻ,ಡಲ್ಲಕಾನ್,ḍallakān,ඩල්ලකාන්,ਡੱਲਕਾਨ੍,DallakAn,.dallakaan,डल्लकान्,DallakAn,ڈَلَّکانْ,ડલ્લકાન્,ডল্লকান্,ட³ல்லகாந்,ཌལླཀཱན྄,ଡଲ୍ଲକାନ୍,ডল্লকান্,ḍallakān,PallakAn,,డల్లకాన్,fullness
πλήρωμα,266,unigram,neuter,accusative,singular,kopi,1.1111713715871039,ကောပိ,កោបិ,โกปิ,കോപി,ಕೋಪಿ,kōpi,කෝපි,ਕੋਪਿ,kopi,kopi,कोपि,kopi,کوپِ,કોપિ,কোপি,கோபி,ཀོཔི,କୋପି,কোপি,kopi,kOpi,,కోపి,fullness
γενεά,189,unigram,feminine,accusative,singular,अस्‍य,1.7040739520167951,,,,,,,,,,,,,,,,,,,,,,अस्‍य,,generation
γενεά,119,unigram,feminine,nominative,singular,वंशः,1.058604368846428,,,,,,,,,,,,,,,,,,,,,,वंशः,,generation
δῶρον,129,unigram,neuter,accusative,singular,,,ဝေဒျား,វេទ្យាះ,เวทฺยา,വേദ്യാഃ,ವೇದ್ಯಾಃ,vēdyāḥ,වේද්‍යාඃ,ਵੇਦ੍ਯਾਃ,vedyAH,vedyaa.h,वेद्याः,vedyAH,ویدْیاح,વેદ્યાઃ,ৱেদ্যাঃ,வேத்³யா​,ཝེདྱཱཿ,ୱେଦ୍ୟାଃ,ৱেদ্যাঃ,vedyāḥ,vEdyAH,,వేద్యాః,gift
ἡγεμών,137,unigram,masculine,accusative,plural,शासकानां,1.9999472799771592,,,,,,,,,,,,,,,,,,,,,,शासकानां,,"governor, ruler"
ἡγεμών,8,unigram,masculine,accusative,singular,प्रान्‍ताधीशपिलातुसाय,1.096471314369571,,,,,,,,,,,,,,,,,,,,,,प्रान्‍ताधीशपिलातुसाय,,"governor, ruler"
ἀσπασμός,261,unigram,masculine,accusative,plural,,,ပြောစ္စာသနေ,ប្រោច្ចាសនេ,โปฺรจฺจาสเน,പ്രോച്ചാസനേ,ಪ್ರೋಚ್ಚಾಸನೇ,prōccāsanē,ප්‍රෝච්චාසනේ,ਪ੍ਰੋੱਚਾਸਨੇ,proccAsane,proccaasane,प्रोच्चासने,prochchAsane,پْروچّاسَنے,પ્રોચ્ચાસને,প্ৰোচ্চাসনে,ப்ரோச்சாஸநே,པྲོཙྩཱསནེ,ପ୍ରୋଚ୍ଚାସନେ,প্রোচ্চাসনে,proccāsane,prOccAsanE,हट्‌टेषु,ప్రోచ్చాసనే,greeting
ὁδηγός,3,unigram,masculine,nominative,singular,,,,,อนฺธปถทรฺศกา,,,,,,,andhapathadar,,,,,,,,,,,,पथप्रदर्शकाः,,guide
θρίξ,76,unigram,feminine,nominative,plural,गणिताः,1.9999473254404407,,,,,,,,,,,,,,,,,,,,,,गणिताः,,hair
θρίξ,175,unigram,feminine,nominative,singular,شِرَحکیشَیکوپِ,2.50766094459828,,,,,,,,,,,,,شِرَحکیشَیکوپِ,,,,,,,,,,,hair
χείρ,253,unigram,feminine,accusative,plural,हस्‍तं,1.1747227427336482,,,,,,,,,,,,,,,,,,,,,,हस्‍तं,,hand
χείρ,178,unigram,feminine,accusative,singular,prasAryya,1.0897558617333112,ပြသာရျျ,ប្រសាយ៌្យ,ปฺรสารฺยฺย,പ്രസാര്യ്യ,ಪ್ರಸಾರ್ಯ್ಯ,prasāryya,ප්‍රසාර‍්‍ය්‍ය,ਪ੍ਰਸਾਰ੍ੱਯ,prasAryya,prasaaryya,प्रसार्य्य,prasAryya,کَرَں,પ્રસાર્ય્ય,প্ৰসাৰ্য্য,ப்ரஸார்ய்ய,པྲསཱཪྻྱ,ପ୍ରସାର୍ୟ୍ୟ,প্রসার্য্য,prasāryya,prasAryya,हस्‍तः,ప్రసార్య్య,hand
κεφαλή,112,unigram,feminine,accusative,plural,nindanto,3.9807682679224063,နိန္ဒန္တော,និន្ទន្តោ,นินฺทนฺโต,നിന്ദന്തോ,ನಿನ್ದನ್ತೋ,nindantō,නින්දන්තෝ,ਨਿਨ੍ਦਨ੍ਤੋ,nindanto,nindanto,निन्दन्तो,nindanto,نِنْدَنْتو,નિન્દન્તો,নিন্দন্তো,நிந்த³ந்தோ,ནིནྡནྟོ,ନିନ୍ଦନ୍ତୋ,নিন্দন্তো,nindanto,nindantO,,నిన్దన్తో,head
κεφαλή,164,unigram,feminine,accusative,singular,,,ၑိရး,ឝិរះ,ศิร,ശിരഃ,ಶಿರಃ,śiraḥ,ශිරඃ,ਸ਼ਿਰਃ,ziraH,sira.h,शिरः,shiraH,شِرَح,શિરઃ,শিৰঃ,ஸி²ர​,ཤིརཿ,ଶିରଃ,শিরঃ,śiraḥ,ziraH,शिरः,శిరః,head
στάχυς,165,unigram,masculine,accusative,plural,,,ၑသျက္ၐေတြေဏ,ឝស្យក្ឞេត្រេណ,ศสฺยกฺเษเตฺรณ,ശസ്യക്ഷേത്രേണ,ಶಸ್ಯಕ್ಷೇತ್ರೇಣ,śasyakṣētrēṇa,ශස්‍යක්‍ෂේත්‍රේණ,ਸ਼ਸ੍ਯਕ੍ਸ਼਼ੇਤ੍ਰੇਣ,zasyakSetreNa,sraamavaare,शस्यक्षेत्रेण,shasyakShetreNa,شَسْیَکْشیتْرینَ,શસ્યક્ષેત્રેણ,শস্যক্ষেত্ৰেণ,ஸ²ஸ்யக்ஷேத்ரேண,ཤསྱཀྵེཏྲེཎ,ଶସ୍ୟକ୍ଷେତ୍ରେଣ,শস্যক্ষেত্রেণ,śasyakṣetreṇa,zasyakSEtrENa,गोधूममंजरीः,శస్యక్షేత్రేణ,head of grain
καρδία,232,unigram,feminine,accusative,singular,,,,,กรณานิ,,,,,,,,,,,,,கரணாநி,,,,,,,,heart
καρδία,153,unigram,feminine,nominative,singular,antaHkaraNAni,2.832746185706914,အန္တးကရဏာနိ,អន្តះករណានិ,กรณานิ,അന്തഃകരണാനി,ಅನ್ತಃಕರಣಾನಿ,antaḥkaraṇāni,අන්තඃකරණානි,ਅਨ੍ਤਃਕਰਣਾਨਿ,antaHkaraNAni,anta.hkara.naani,अन्तःकरणानि,antaHkaraNAni,اَنْتَحکَرَنانِ,અન્તઃકરણાનિ,অন্তঃকৰণানি,கரணாநி,ཨནྟཿཀརཎཱནི,ଅନ୍ତଃକରଣାନି,অন্তঃকরণানি,antaḥkaraṇāni,antaHkaraNAni,हृदयं,అన్తఃకరణాని,heart
οὐρανός,215,unigram,masculine,accusative,singular,svargaM,90.46231424319295,သွရ္ဂံ,ស្វគ៌ំ,สฺวรฺคํ,സ്വർഗം,ಸ್ವರ್ಗಂ,svargaṁ,ස්වර්ගං,ਸ੍ਵਰ੍ਗੰ,svargaM,svarga.m,स्वर्गं,svargaM,سْوَرْگَں,સ્વર્ગં,স্ৱৰ্গং,ஸ்வர்க³ம்ʼ,སྭརྒཾ,ସ୍ୱର୍ଗଂ,স্ৱর্গং,svargaṁ,svargaM,स्‍वर्गम्‌,స్వర్గం,"heaven, sky"
οὐρανός,158,unigram,masculine,nominative,singular,कदापि,1.4065158990728672,,,,,,,,,,,,,,,,,,,,,,कदापि,,"heaven, sky"
ὥρα,20,unigram,feminine,nominative,singular,samaya,35.36627669668615,သမယ,សមយ,สมย,സമയ,ಸಮಯ,samaya,සමය,ਸਮਯ,samaya,samaya,समय,samaya,سَمَیَ,સમય,সময,ஸமய,སམཡ,ସମଯ,সময,samaya,samaya,समयः,సమయ,hour
οἰκία,124,unigram,feminine,accusative,plural,विधवानां,1.9574275457411658,,,,,,,,,,,,,,,,,,,,,,विधवानां,,house
οἰκία,264,unigram,feminine,accusative,singular,নিৱেশনং,1.4831570344614289,နိဝေၑနံ,និវេឝនំ,นิเวศนํ,നിവേശനം,ನಿವೇಶನಂ,nivēśanaṁ,නිවේශනං,ਨਿਵੇਸ਼ਨੰ,nivezanaM,nive,निवेशनं,niveshanaM,نِویشَنَں,નિવેશનં,নিৱেশনং,நிவேஸ²நம்ʼ,ནིཝེཤནཾ,ନିୱେଶନଂ,নিৱেশনং,niveśanaṁ,nivEzanaM,गृहं,నివేశనం,house
οἶκος,227,unigram,masculine,accusative,plural,स्‍वीयगेहेषु,1.0966768220397096,,,,,,,,,,,,,,,,,,,,,,स्‍वीयगेहेषु,,"house, home"
οἶκος,16,unigram,masculine,accusative,singular,,,ဂၖဟံ,គ្ឫហំ,คฺฤหํ,ഗൃഹം,ಗೃಹಂ,gr̥haṁ,ගෘහං,ਗ੍ਰੁʼਹੰ,gRhaM,g.rha.m,गृहं,gR^ihaM,گرِہَں,ગૃહં,গৃহং,க்³ருʼஹம்ʼ,གྲྀཧཾ,ଗୃହଂ,গৃহং,gṛhaṁ,gRhaM,गृहं,గృహం,"house, home"
