ISO_639_3_Code,Language Name,Wikidata Entity,Leaftop Bible version Id,bible.com/versions,Likely name of bible
cui,Cuiba,Q2980421,408,1036,nacom pejume diwesi po diwesi pena jume diwesi xua jesucristo yabara tinatsi
cul,Culina,Q2475442,409,1446,culina madija
quz,Cusco Quechua,Q35147,483,2391,diospa simin qelqa
quz,Cusco Quechua,Q35147,484,2392,quechua cuzco bible 1988
ces,Czech,Q9056,2127,15,bible 21
ces,Czech,Q9056,2128,44,bible kralicka 1613
ces,Czech,Q9056,2129,162,slovo na cestu
ces,Czech,Q9056,2130,509,cesky studijni preklad
kzf,Da'a Kaili,Q33103997,424,2865,buku nagasa pojanji nabou
dsh,Daasanach,Q56637,425,2189,fayam midhab yiesu kiristoka he hol af idjiny kaanaka
mps,Dadibi,Q5208077,426,1153,godigo dwagi yai po buku
dgz,Daga,Q5208442,427,977,nop ewakewa
dga,Dagaare,Q35159,428,2268,naamen npaalaa gane
dag,Dagbani,Q32238,429,2263,naawuni kundi kasi
dag,Dagbani,Q32238,430,2264,naawuni kundi kasi din mali diutrkannikal litaafinima
dij,Dai,Q5209056,431,2446,dai cangcim kthai
dak,Dakota,Q530384,432,2798,dakota wowapi wakan kin
daf,Dan,Q1158971,434,1830,na se seedh
dnj,Dan,Q1158971,436,1831,dan blowo yacouba nouveau testament
daa,Dangaléat,Q942591,439,354,jamaw ta marbinto kabarre ta gala o bi ka iisa masi i dala
ada,Dangme,Q35141,76,2265,baiblo aloo ngmami kluklu 
ada,Dangme,Q35141,77,2322,somi he 
dan,Danish,Q9035,442,20,bibelen pa hverdagsdansk
dan,Danish,Q9035,443,49,danske bibel 1871slash 1907
aso,Dano,Q5220979,441,993,mono godolo gosoho
prs,Dari,Q178440,2230,341,tb mkds
tcc,Datooga,Q35327,444,1514,neajeeda eesh bea buuneessean
dww,Dawawa,Q5242286,445,1017,vari verenama
dwr,Dawro,Q12629647,446,1672,dawro new testament
dwr,Dawro,Q12629647,447,505,ooratha caaquwaa
dwr,Dawro,Q12629647,448,342,ooratha caaquwaa
ded,Dedua,Q5249850,449,1564,deduamiti kibi 40
ded,Dedua,Q5249850,450,983,yoak kekehagocac dzadzahac gboria nga mitiyegec
mzw,Deg,Q35183,451,2012,mzwdbl
ntr,Delo,Q35195,452,1795,wurubur nombia kpaakpaa nkebakesee wle
anv,Denya,Q35187,453,343,w menomeny mek
des,Desano,Q962392,454,1583,goam yare wererip
dso,Desiya,Q12629755,455,2780,2020
nfa,Dhao,Q2053828,469,1402,lii holo nori ama lamatua lii pajaji hiu dengelii lolo dhu uru teka
luo,Dholuo,Q5414796,471,1810,muma maler 2015
luo,Dholuo,Q5414796,472,2652,motingo loko manyien
mbd,Dibabawon Manobo,Q18755523,474,1326,kasulatan to diyus
did,Didinga,Q56365,476,1890,buuk c thooth c nyekuci
dig,Digo,Q3362072,362,2711,digo bible
dur,Dii,Q35208,477,1511,dii new testament
dis,Dimasa,Q56664,478,1010,dara gadain
dyu,Dioula,Q32706,494,1754,ala ka kuma
dyu,Dioula,Q32706,495,1728,jula nt of cote divoire
djr,Djambarrpuyngu,Q3915679,486,244,djambarrpuyu new testamen
dyi,Djimini,Q35336,1818,1598,bibulu ynl li snr
dob,Dobu,Q952133,488,926,loina tabu auwauna
dgr,Dogrib,Q20979,1946,800,nohtsi nihtl e
kqc,Doromu,Q5298175,489,1033,sei di uka ago ruaka di buka bedakai
dow,Dowayo,Q35299,490,880,nouveau testament doyayo
dgc,Dumagat Agta,Q5313599,329,1170,bigu a tipan i mahusay a baheta para ta panahun tam
duo,Dupaningan Agta,Q5315912,491,1312,inaamakan a baheta na dios
mvp,Duri,Q3915414,492,2573,alkitab duri
nld,Dutch,Q7411,1327,1276,basisbijbel
nld,Dutch,Q7411,1328,2307,de heilige schrift petrus canisiusvertaling 1939
nld,Dutch,Q7411,1329,1990,herziene statenvertaling
nld,Dutch,Q7411,1330,75,het boek
nld,Dutch,Q7411,1331,328,nbg vertaling 1951
nld,Dutch,Q7411,1332,165,rj statenvertaling jongbloed editie
omb,East Ambae,Q2841471,497,2077,havai niu testamen
kjs,East Kewa,Q20050949,498,1012,gotena epe agale
qve,Eastern Apurímac Quechua,Q12953838,499,667,mosoq testamento
aer,Eastern Arrernte,Q10728232,500,1746,angkentye mwerre
gui,Eastern Bolivian Guaraní,Q2963912,670,972,biblia guarani tumpa inee
gui,Eastern Bolivian Guaraní,Q2963912,671,590,nuevo testamento guarani pe
ebk,Eastern Bontok,Q62664215,501,1114,nan kalen apo dios nan fiaru ay turag
bru,Eastern Bru,Q16115463,1984,1422,parnai yiang surs kinh thanh ting bru
ike_lab,Eastern Canadian Inuktitut,Q4126517,788,803,labrador inuttitut heritage bible
ike,Eastern Canadian Inuktitut,Q4126517,2308,455,
nhe,Eastern Huasteca Nahuatl,Q4358289,1300,747,itlajtol toteco santa biblia
nhe,Eastern Huasteca Nahuatl,Q4358289,1301,225,ya ni nopa yancuic tlajtoli tlen toteco toca mocajtoc el nuevo testamento de nuestro senor jesucristo en el nahuatl de la huasteca oriental
cek,Eastern Khumi Chin,Q16115455,1057,1853,caekacai kangthae lemi
taj,Eastern Tamang,Q12953177,2245,1177,
igb,Ebira,Q35363,505,2539,iwe nn
efi,Efik,Q35377,508,2570,edisana nwed abasi ibom
ego,Eggon,Q35300,509,2667,ohwihwim olehe
eka,Ekajuk,Q35250,511,1154,ekajuk new testament
ekg,Ekari,Q5350305,512,2854,ija ka togijawita mana
etu,Ekoi,Q35296,510,889,ejagham new testament
eko,Ekoti,Q29930,983,2646,hapari zooshapweya
crn,El Nayar Cora,Q12953454,403,239,niuucari t jejcua t ajta jmeen raaxa ajna tavastaraa criistuu t jii jesus t tuirajtuaa
ebu,Embu,Q35318,514,2770,ivuku ria uvoro mwaro
ebu,Embu,Q35318,515,2775,ivuku ria uvoro mwaro
eng,English,Q1860,1,12,american standard version
eng,English,Q1860,2,1588,amplified bible
eng,English,Q1860,3,8,amplified bible classic edition
eng,English,Q1860,4,42,catholic public domain version
eng,English,Q1860,5,1713,christian standard bible
eng,English,Q1860,6,37,common english bible
eng,English,Q1860,7,1275,complete jewish bible
eng,English,Q1860,8,392,contemporary english version
eng,English,Q1860,9,294,contemporary english version anglicised 2012
eng,English,Q1860,10,303,contemporary english version interconfessional edition
eng,English,Q1860,11,478,darbys translation 1890
eng,English,Q1860,12,55,douay rheims challoner revision 1752
eng,English,Q1860,13,2079,easyenglish bible 2018
eng,English,Q1860,14,59,english standard version 2016
eng,English,Q1860,15,1932,free bible version
eng,English,Q1860,16,2163,geneva bible
eng,English,Q1860,17,70,gods word
eng,English,Q1860,18,296,good news bible
eng,English,Q1860,19,416,good news bible anglicised
eng,English,Q1860,20,431,good news bible catholic edition in septuagint order
eng,English,Q1860,21,68,good news translation
eng,English,Q1860,22,69,good news translation us version
eng,English,Q1860,23,72,holman christian standard bible
eng,English,Q1860,24,406,holy bible easy to read version
eng,English,Q1860,25,1359,international childrens bible
eng,English,Q1860,26,1077,jubilee bible
eng,English,Q1860,27,1,king james version
eng,English,Q1860,28,546,king james version with apocrypha american edition
eng,English,Q1860,29,547,king james version american edition
eng,English,Q1860,30,90,lexham english bible
eng,English,Q1860,31,1171,modern english version
eng,English,Q1860,32,463,new american bible revised edition
eng,English,Q1860,33,2692,new american standard bible nasb
eng,English,Q1860,34,100,new american standard bible nasb 1995
eng,English,Q1860,35,105,new century version
eng,English,Q1860,36,107,new english translation
eng,English,Q1860,37,110,new international readers version
eng,English,Q1860,38,111,new international version
eng,English,Q1860,39,113,new international version anglicised
eng,English,Q1860,40,114,new king james version
eng,English,Q1860,41,116,new living translation
eng,English,Q1860,42,2135,new messianic version bible
eng,English,Q1860,43,2016,new revised standard version
eng,English,Q1860,44,2015,ci new revised standard version catholic interconfessional
eng,English,Q1860,45,130,orthodox jewish bible
eng,English,Q1860,48,2753,radiate new testament
eng,English,Q1860,49,2020,revised standard version
eng,English,Q1860,50,2017,ci revised standard version
eng,English,Q1860,51,477,revised version 1885
eng,English,Q1860,52,1922,revised version with apocrypha 1885 1895
eng,English,Q1860,55,97,the message
eng,English,Q1860,56,1849,the passion translation
eng,English,Q1860,57,316,the scriptures 2009
eng,English,Q1860,58,314,tree of life version
eng,English,Q1860,59,206,world english bible
eng,English,Q1860,60,1204,world english bible british edition
eng,English,Q1860,61,1209,world messianic bible
eng,English,Q1860,62,1207,world messianic bible british edition
eng,English,Q1860,63,2407,wycliffes bible with modern spelling
eng,English,Q1860,64,821,youngs literal translation 1898
enx,Enxet,Q15462609,518,2314,lengua sur enxet nuevo testamento
sja,Eperara,Q3055682,519,270,epena new testament
sja,Eperara,Q3055682,520,1351,tachi akore pedee chonaarawedapema
erg,Erromanga,Q426254,1729,2680,nam numpusok itevau eni iesu kristo novsuromon enugkos 2019
mcq,Ese,Q5397551,521,1004,godoni vua maiuina
ese,Ese Ejja,Q2980381,522,2811,ese ejja new testament
ese,Ese Ejja,Q2980381,523,576,eyacuinajjija esohui
epo,Esperanto,Q143,553,841,la sankta biblio 1926 esperanto londona biblio
etx,Eten,Q3915392,555,2722,wee ne itsm ihywas
nou,Ewage,Q5418860,559,1199,binga ewamei isu keriso da jawo da
ewe,Ewe,Q30005,2106,1613,agbenya la
ewe,Ewe,Q30005,2107,2259,biblia alo l kke la le eegbe me 1913
ewo,Ewondo,Q35459,560,1854,mkpama amvoe nouveau testament en langue ewondo 2012
eza,Ezaa,Q11921436,561,1600,bayburu zaa
fai,Faiwol,Q3501773,562,923,got weng abem
fai,Faiwol,Q3501773,563,1428,got weng abem alokso abino kalin
cfm,Falam,Q56815,564,1869,dan thar nt bsi
cfm,Falam,Q56815,565,389,falam common language bible
fat,Fante,Q35570,567,2913,baebor
fat,Fante,Q35570,568,2914,baebor
fao,Faroese,Q25258,612,374,biblia
faa,Fasu,Q3446687,570,956,kotimo kawe someaka masane oyapo
far,Fataleka,Q3067168,571,1902,farongoe lea ana fataleka
hif,Fiji Hindi,Q46728,723,2633,nawa haup
fij,Fijian,Q33295,1987,676,ai vola tabu ena vakavakadewa vou
fij,Fijian,Q33295,1988,508,vakavakadewa makawa
fij,Fijian,Q33295,1989,675,vakavakadewa vou kei na ivola tale eso
fin,Finnish,Q1412,1796,60,finnish 1776
fin,Finnish,Q1412,1798,365,kirkkoraamattu 1933slash 38
fin,Finnish,Q1412,1799,330,kirkkoraamattu 1992
fin,Finnish,Q1412,1800,1745,raamattu kansalle
fip,Fipa,Q667747,579,2668,upangano upya
ppo,Folopa,Q5464843,580,1184,yesu kerisone so whi tao sere kisi fo wisi
fon,Fon,Q33291,581,817,mawuxowema
fon,Fon,Q33291,582,813,mawuxowema
frd,Fordata,Q5468035,583,2178,surat ralan naa vaidida
for,Fore,Q3077126,584,973,mono agowe
gur,Frafra,Q35331,569,1323,gur nawnn yetga la ninkar
zos,Francisco León Zoque,Q12954011,585,784,jomepo testamento
fra,French,Q150,586,64,bible darby en francais
fra,French,Q150,587,152,bible segond 21
fra,French,Q150,588,504,bible catholique crampon 1923
fra,French,Q150,589,63,bible en francais courant
fra,French,Q150,590,21,la bible du semeur
fra,French,Q150,591,93,la sainte bible par louis segond 1910
fra,French,Q150,592,62,martin 1744
fra,French,Q150,593,104,nouvelle bible segond
fra,French,Q150,594,106,nouvelle edition de geneve 1979
fra,French,Q150,595,2367,nouvelle francais courant
fra,French,Q150,596,2053,nouvelle segond revisee
fra,French,Q150,597,131,ostervald
fra,French,Q150,598,133,parole de vie 2017
flr,Fuliiru,Q7166821,608,2355,ibibiriya igambo lya rurema mu ndeto yekifuliiru
bfd,Fut,Q34888,195,2147,too kristo yi sgn mkaa yi mfii
fud,Futunan,Q35334,610,2719,tosi tapu
gaa,Ga,Q33287,703,2708,mal krkr l
gaa,Ga,Q33287,704,2712,male krokro le
gdg,Ga'dang,Q5515189,615,1436,ino sapiti dios bawuwa tulag
gag,Gagauz,Q33457,2146,2554,eni baalanti
gag,Gagauz,Q33457,2147,2555,eni baalanty
gbi,Galela,Q3094570,631,2856,o gikimoi awi jaji ma buku
adl,Gallong,Q2857892,632,1534,bsi ali niitin bsi
gmv,Gamo,Q16116386,633,434,gamo geesha maxxafa new testamen
gnb,Gangte,Q12952442,634,1013,pathien lekhabu thiengtho
pwg,Gapapaiwa,Q3095245,636,1180,god vonana vovokaravina
cab,Garifuna,Q35490,886,521,lererun bungiu to lanina iseri daradu
gaq,Gataq,Q3501920,638,2781,
gbr,Gbagyi,Q11015105,639,1621,alkawali woiwoyi
nlg,Gela,Q3063531,642,1906,na rongorongo uto nina jesus christ
gej,Gen,Q33450,1224,2236,ggbe biblia 2014
kat,Georgian,Q8108,2303,2202,biblia
kat,Georgian,Q8108,2304,2368,qartuli biblia sruli versia
kat,Georgian,Q8108,2305,2369,qartuli biblia sruli versia
deu,German,Q188,456,65,albrecht nt und psalmen
deu,German,Q188,457,57,darby unrevidierte elberfelder
deu,German,Q188,458,58,elberfelder 1871
deu,German,Q188,459,2351,elberfelder ubersetzung version von bibelkommentare dot d e
deu,German,Q188,460,73,hoffnung fur alle
deu,German,Q188,461,51,lutherbibel 1912
deu,German,Q188,462,108,neue genfer ubersetzung
deu,German,Q188,463,877,neu bibel dot h eute
deu,German,Q188,464,158,schlachter 1951
deu,German,Q188,465,157,schlachter 2000
deu,German,Q188,466,2200,textbibel von kautzsch und weizsacker
gri,Ghari,Q3104782,643,2706,ghari
bbj,Ghomala',Q35271,645,907,ghomala new testament
gid,Gidar,Q35265,646,1120,nouveau testament en guidar
kik,Gikuyu,Q33587,922,1622,kiugo gtheru ka ngai krkanro kra gkr na kra ker
kik,Gikuyu,Q33587,923,1201,krkanro ga gky
kik,Gikuyu,Q33587,924,1202,krkanro ga gky
gil,Gilbertese,Q30898,648,1892,te baib ara
bbr,Girawa,Q5564185,649,982,anut nukan aman eposek
nyf,Giryama,Q3107606,650,2207,kilagane kisha kenya
gom,Goan Konkani,Q5575236,970,1866,novo korar nt
gof,Gofa,Q12631584,657,2344,gofa new testament
gof,Gofa,Q12631584,658,435,ooratha caaquwa goofatho
gof,Gofa,Q12631584,659,506,
mtg,Goliath,Q5580728,1961,1670,ukuryok ebdeibsou uram
gvf,Golin,Q3110291,655,940,god ka main buku
gjn,Gonja,Q35267,656,1729,ebr be kawl
gqr,Gor,Q759992,660,1173,ta l luw kunmind k sig
gor,Gorontalo,Q2501174,661,2857,kitabi habari mopiohe
guh,Guahibo,Q2669193,663,1055,dios pejumelivaisibaxuto pejanalivaisibaxuto
gub,Guajajára,Q57420736,664,613,tupan zeeg
gum,Guambiano,Q2744745,665,1037,nacom pejume diwesi po diwesi pena jume diwesi xua jesucristo yabara tinatsi
gyr,Guarayu,Q3118779,674,359,tupa ne engagwer
gyr,Guarayu,Q3118779,675,224,tupa ne engagwer
gyr,Guarayu,Q3118779,676,609,tpa nehengaguer
guo,Guayabero,Q2980375,677,499,pajelwajan dios pejjamechan
gym,Guaymí,Q3915581,1353,601,kukwe kuin ngobokwe
gde,Gude,Q3441230,678,1778,kura alekawale ga entafe
zab,Guelavía Zapotec,Q5614751,2083,283,xtiidx dios cun ditsa
amu,Guerrero Amuzgo,Q3501942,124,229,noom xco na tque tyootsom cantxja naa jesucristo
ngu,Guerrero Nahuatl,Q5614980,680,1660,el nuevo testamento
ngu,Guerrero Nahuatl,Q5614980,681,749,in yencuic iyectlajtoltzin dios itech ica toteco jesucristo
zpg,Guevea Zapotec,Q13459953,2105,2289,zapotec guevea de humboldt new testament
ghs,Guhu-Samane,Q11732219,682,953,poro tongo usaqe
gkp,Guinea Kpelle,Q11052867,987,500,bible
gkp,Guinea Kpelle,Q11052867,988,1395,yala laawoo h
gkp,Guinea Kpelle,Q11052867,989,1393,yala laawoo h dc
guj,Gujarati,Q5137,2271,1911,2019
guj,Gujarati,Q5137,2272,1848,bsi c dot l
guj,Gujarati,Q5137,2273,1691,ov reference bible bsi
guj,Gujarati,Q5137,2274,2561,
gvl,Gulay,Q641737,683,815,gulei new testament
gul,Gullah,Q33395,684,585,de nyew testament
gnn,Gumatj,Q10510745,685,2006,gumatj shorter bible
guw,Gun,Q3111668,686,2405,biblu wiwe l 1923
rub,Gungu,Q11165235,687,1837,lugungu bible
yas,Gunu,Q36358,1405,2624,nogal na mammana ya gy
gup,Gunwinggu,Q1406574,1003,2256,god nuye kunwok 2018
gvr,Gurung,Q2392342,689,2468,
guz,Gusii,Q33603,513,2771,ebibilia enchenu
gvn,Guugu Yalandji,Q5621973,994,1375,godumu kuku
dah,Gwahatike,Q5623246,690,939,al kuruyen mere igi
gwr,Gwere,Q5623559,691,2299,endagaano empyaka omu lugwere
gwi,Gwich’in,Q21057,692,600,viteegwijyahchy aa vagwandak nizii
hat,Haitian Creole,Q33491,990,1957,1998 haitienne
hat,Haitian Creole,Q33491,991,2474,nouvo testaman vesyon kreyol fasil
cnh,Hakha-Chin,Q3250286,706,327,hakha common language bible
cnh,Hakha-Chin,Q3250286,707,1862,laibaibal thiang bsi
hak_rom,Hakka,Q33375,708,2408,hak ngi sun kin hien thoi thoi van hak ngi yit pun sin khiu yok chhion su lo ma su pan
hak,Hakka,Q33375,2313,1806,客語聖經 現代臺灣客語譯本新舊約全書客語聖經 漢字版
hla,Halia,Q3125959,709,955,2020 u bulunagana u niga
tmd,Haruai,Q12632146,712,1570,mono komo
hau,Hausa,Q56475,713,71,littafi mai tsarki
hau,Hausa,Q56475,714,1614,sabon rai don kowa 2020
haw,Hawaiian,Q33569,717,2709,ka baibala hemolele
hwc,Hawaiian Pidgin,Q35602,716,76,hawaii pidgin bible
hvn,Hawu,Q2319877,1621,2859,buku lii dara deo lii dara wowiu
xed,Hdi,Q56246,718,1149,deftera lfia dzratawi
heh,Hehe,Q3129390,921,1815,lufingano lupya
heg,Helong,Q35432,719,1045,buk niu in hida balu nol dehet deng apan kloma ki in dadi ka
chq,Highland Chinantec,Q5758709,1560,771,new testament in chinantec quiotepec
chd,Highland Oaxaca Chontal,Q2964457,720,721,lataiqui loyaapa ie al ca lixpicepa landios
azz,Highland Puebla Nahuatl,Q12953754,721,781,in cuali tajtoltzin de dios
hil,Hiligaynon,Q35978,779,2191,ang biblia 1982
hil,Hiligaynon,Q35978,780,10,ang pulong sang dios
hil,Hiligaynon,Q35978,781,2190,maayong balita nga biblia 2012
hin_ro,Hindi,Q1568,722,820,hindi holy bible
hin,Hindi,Q1568,2251,819,hindi holy bible
hin,Hindi,Q1568,2252,1683,bsi hindi o dot v re edited bsi
hin,Hindi,Q1568,2253,1980,irv 2019
hin,Hindi,Q1568,2254,1953,
hin,Hindi,Q1568,2255,2562,
hin,Hindi,Q1568,2256,1682,cl bible bsi
hin,Hindi,Q1568,2257,1628,
hmo,Hiri Motu,Q33617,724,2092,buka helaga hiri motu 1993
hix,Hixkaryana,Q56522,725,587,khoryenkom karyehtana
hmr,Hmar,Q2992841,726,1863,pathien lekhabu inthieng bsi
hmr,Hmar,Q2992841,727,1864,pathien lekhabu inthieng bsi
mww,Hmong Daw,Q3138829,728,1269,vajtswv txojlus lus hmoob dawb txhais tshiab xyoo 2004
mww,Hmong Daw,Q3138829,729,1525,vajtswv txojlus 2000
hnj,Hmong Njua,Q3138831,730,1216,vaajtswv txujlug lug moob ntsuab txhais tshab xyoo 2004
hnj,Hmong Njua,Q3138831,731,1726,vietnam
hoy,Holiya,Q5880707,732,2782,
hop,Hopi,Q56421,733,595,god lavayiyat a puhuvasiwni
hot,Hote,Q12632404,734,1026,wapombe ane abo mathe
hra,Hrangkhol,Q5923435,735,1018,pathian lekhabu irthiang
hre,Hrê,Q3915794,736,2512,sech hadroih
qub,Huallaga Quechua,Q35492,740,1088,tayta diosninchi isquirbichishan
qvh,Huamalíes-Dos de Mayo Huánuco Quechua,Q25559676,741,670,tayta diospa wilakuynin
hub,Huambisa,Q1526037,742,720,yuusa chichame yaunchukia tura yamaram chichamjai aarmau
var,Huarijio,Q10974017,743,1347,riosia warijio nayewani ahpo tisiwa kaaweruma tuuyewari
hus,Huastec,Q35573,744,698,new testament in huastec aquiche
hus,Huastec,Q35573,745,848,new testament in huastec san luis potosi
mau,Huautla Mazatec,Q63278779,746,834,new testament in mazatec huautla
qwh,Huaylas Quechua,Q6094343,747,2393,quechua ancash new testament
qwh,Huaylas Quechua,Q6094343,748,734,teyta diospa mushoq testamentun
hbb,Huba,Q56290,1411,2723,taer alkawal aku nya heba
tee,Huehuetla Tepehua,Q56455,750,849,ixchivinti dios
hui,Huli,Q3125121,752,2061,baibolo mbuga huli
hui,Huli,Q3125121,753,2060,baibolo mbuga huli habo nalolene bi bamba lowinigo wabuni mendegobi gilibu ngagoni
dud,Hun-Saare,Q3913977,2123,1977,mto shir takurda o swor o nu pu o
hun,Hungarian,Q9067,1123,198,biblia egyszeru forditas
hun,Hungarian,Q9067,1124,526,hungarian bible by lajos csia
hun,Hungarian,Q9067,1125,84,karoli bible 1908
hun,Hungarian,Q9067,1126,1239,magyar bibliatarsulat uj forditasu bibliaja
hun,Hungarian,Q9067,1127,920,revised hungarian bible
hun,Hungarian,Q9067,1128,26,ujszovetseg elet igazsag es vilagossag
hap,Hupla,Q5946223,754,2858,allah wene fano wene hupla inane
jab,Hyam,Q35403,755,2521,mbyeny jok nom di ho hyam ham ma
iai,Iaai,Q282888,756,2601,iaai bible 1901 new caledonia
ian,Iatmül,Q5983460,758,968,god waa nyaangt
ibl,Ibaloi,Q3147383,759,2434,dibshon mengi kan ni pansigshan
iba,Iban,Q33424,760,171,bup kudus
ivb,Ibatan,Q18748212,761,1322,chirin ni apo dyos
ibb,Ibibio,Q33792,762,2619,nwed abasi ke ik ibibio ayo mfn
isl,Icelandic,Q294,2124,2359,biblian 1981
isl,Icelandic,Q294,2125,1915,biblian 2007
idu,Idoma,Q35478,764,2537,ubayibu ku idma
viv,Iduna,Q5989839,765,1235,yaubada bonana veyao ivaguna
ife,Ifè,Q33606,766,1759,ife iwe aye iml ikaanyi
igl,Igala,Q35513,767,2615,otakada ola ojo 1970
ibo,Igbo,Q33578,768,77,bible nso
ibo,Igbo,Q33578,769,1624,babl ns nigbo nd ugbu a
ige,Igede,Q35420,770,2538,ibayb nya ohe oluhye
ign,Ignaciano,Q3148190,1259,788,eta taurinaquene maechajiriruvahi ema viya eta viyehe ticaijare puito eta nuevo testamento
ign,Ignaciano,Q3148190,1260,245,taurinakene maechejiriruwai ema viya tikaijare
ikk,Ika,Q35406,771,1296,elu hn kkw ns azn hn rna
ikw,Ikwerre,Q35399,773,1190,tesitamenti ikne n nu ikwere
iqw,Ikwo,Q11926474,774,1599,bayburu ikwo
ilb,Ila,Q5996885,775,888,izwi lya leza
mbi,Ilianen,Q14916911,776,1310,ke meupiya ne tudtul mekeatag ki hisu kristu
ilo,Ilocano,Q35936,777,782,ti baro a naimbag a damag biblia
ilo,Ilocano,Q35936,778,2192,ti biblia 1973
qvi,Imbabura Highland Quichua,Q25559701,919,264,diospaj shimi
imo,Imbongu,Q12632895,782,1009,goteni lino kinye opa peamili nimu ungu tukumemu
ind,Indonesian,Q9240,197,306,alkitab terjemahan baru
ind,Indonesian,Q9240,198,2861,tl alkitab terjemahan lama
ind,Indonesian,Q9240,199,27,alkitab dalam bahasa indonesia masa kini
ind,Indonesian,Q9240,200,2727,firman allah yang hidup
ind,Indonesian,Q9240,201,2862,indonesian tazi nt study bible
ind,Indonesian,Q9240,202,2863,perjanjian baru terjemahan baru edisi 2
ind,Indonesian,Q9240,203,199,perjanjian baru versi mudah dibaca
ind,Indonesian,Q9240,204,320,terjemahan sederhana indonesia
inb,Inga Kichwa,Q35491,784,1103,kaipimi taita dius rimaku
ino,Inoke,Q6036531,785,951,anumaya kotia saufa laminea ke
ikt,Inuinnaqtun,Q28070,786,1988,godim ukauhiit gospelit hitamanguyun apostlit havaangillu
ipi,Ipili,Q6065141,789,1020,ipili nutestamene
nim,Iramba,Q4121200,1027,1813,lyago nipia mpola nanziiza ku antu tl kuntambo ya knilyamba 2009
pes,Iranian Persian,Q3513637,2233,136,fas persian old version
pes,Iranian Persian,Q3513637,2234,181,mdh br aasr gdd
pes,Iranian Persian,Q3513637,2235,118,hzr no
pes,Iranian Persian,Q3513637,2236,1619,tb mkds trgm maasr
gle,Irish,Q9142,616,554,an biobla naofa 1981
gle,Irish,Q9142,617,883,an biobla naomhtha 1817 bedell
gle,Irish,Q9142,618,2694,na ceithre soisceil agus gniomhartha na n abstal 1943 padraig mac giolla cheara
gle,Irish,Q9142,619,884,tiomna nua 1970 o cuinn
isd,Isnag,Q6085162,791,1331,ya babanan ne dios nga nesurat kiya baru wa tulag genesis se exodus
mir,Isthmus Mixe,Q6088873,792,740,new testament in mixe isthmus
zai,Isthmus Zapotec,Q56728,793,824,stiidxa dios didxaza el nuevo testamento de nuestro senor jesucristo en el zapoteco del istmo
nhx,Isthmus-Mecayapan Nahuatl,Q12953756,794,1654,el nuevo testamento
nhx,Isthmus-Mecayapan Nahuatl,Q12953756,795,1661,el nuevo testamento
ita,Italian,Q652,796,54,diodati bibbia 1885
ita,Italian,Q652,797,123,nuova riveduta 1994
ita,Italian,Q652,798,122,nuova riveduta 2006
ita,Italian,Q652,799,1197,traduzione interconfessionale in lingua corrente
ita,Italian,Q652,800,1196,traduzione interconfessionale in lingua corrente
ita,Italian,Q652,801,141,versione diodati riveduta
trq,Itunyoso Triqui,Q12953934,1639,2284,triqui itunyuso
ivv,Ivatan,Q3547080,802,1315,no vayo a testamento salmo no libro no proverbo
kbm,Iwal,Q3156391,803,1073,yisu kilisi ane binge vie giengk iwal avos
mzi,Ixcatlán Mazatec,Q6101049,804,2413,xojon en tjatsiee nena
ixl,Ixil,Q35528,805,608,u ak testamento tu kuyobal
ixl,Ixil,Q35528,806,1763,vikav iyol qubaal tiuxh quyolbalxhtu
ixl,Ixil,Q35528,807,247,viakla txumbal u tioxh
nca,Iyo,Q6101336,808,1146,the new testament in the iyo language of papua new guinea
crt,Iyojwa'ja Chorote,Q3504118,381,371,nuevo testamento chorote
izr,Izere,Q6101921,809,2070,izere new testament
izz,Izi,Q3914387,810,1601,bayburu izii
jac,Jakaltek,Q33393,1520,724,nuevo testamento yin abxubal
maj,Jalapa Mazatec,Q3915999,812,854,ehen ntiana
jam,Jamaican Creole,Q35939,814,476,di jamiekan nyuu testiment
jaa,Jamamadí,Q3053275,813,1903,jarawara teoso ka yama hani
mxt,Jamiltepec Mixtec,Q12953730,815,775,tuhun cha sanaha ra jesucristo chi yo
jpn,Japanese,Q5287,2327,2040,alive %E6%96%B0%E7%B4%84%E8%81%96%E6%9B%B8
jpn,Japanese,Q5287,2328,81,colloquial japanese 1955
jpn,Japanese,Q5287,2329,1820,japanese %E8%81%96%E6%9B%B8 %E5%8F%A3%E8%AA%9E%E8%A8%B3
jpn,Japanese,Q5287,2330,1819,seisho shinkyoudoyaku %E8%81%96%E6%9B%B8 %E6%96%B0%E5%85%B1%E5%90%8C%E8%A8%B3
jra,Jarai,Q33370,816,1973,hra i adai phiap 2016
jra,Jarai,Q33370,817,894,hdrom hra rgoh hiam hnng djar 2014
jav,Javanese,Q33549,234,248,kitab sutji
jib,Jibu,Q3914448,818,2396,jir shidun
kac,Jingpho,Q33332,819,348,jinghpaw common language bible 2009
kac,Jingpho,Q33332,820,2647,jinghpaw hanson version bible
jit,Jita,Q6203228,821,2238,indagano inya ya
mxq,Juquila Mixe,Q25559721,1234,768,new testament in mixe juquila
bex,Jur Modo,Q56682,823,1744,buku ba tisaki ni td to lomu laja ba yesu kurisito ere ze
juy,Juray,Q6314963,824,2783,
gna,Kaansa,Q56802,828,2023,kaansa nt ghana
kbd,Kabardian,Q33522,829,2173,hybaryfyr shedzaper uered lapeher
